epoch,train_loss,val_loss,dsc,iou
10,0.224,0.242,0.759,0.752
11,0.221,0.242,0.759,0.752
12,0.23,0.242,0.759,0.752
13,0.2,0.242,0.759,0.752
14,0.229,0.242,0.759,0.752
15,0.205,0.242,0.759,0.752
16,0.217,0.242,0.759,0.752
17,0.214,0.242,0.759,0.752
18,0.236,0.242,0.759,0.752
19,0.267,0.242,0.759,0.752
20,0.252,0.242,0.759,0.752
21,0.221,0.245,0.756,0.741
22,0.22,0.24,0.76,0.751
23,0.241,0.257,0.744,0.712
24,0.264,0.248,0.753,0.724
25,0.218,0.259,0.742,0.717
26,0.221,0.241,0.76,0.76
27,0.24,0.245,0.756,0.74
28,0.243,0.243,0.758,0.77
29,0.244,0.286,0.714,0.641
30,0.238,0.27,0.731,0.716
31,0.235,0.235,0.765,0.77
32,0.199,0.249,0.751,0.748
33,0.222,0.252,0.749,0.713
34,0.22,0.236,0.764,0.738
35,0.236,0.25,0.75,0.738
36,0.244,0.235,0.765,0.79
37,0.193,0.244,0.757,0.762
38,0.193,0.237,0.763,0.77
39,0.212,0.237,0.764,0.77
40,0.217,0.237,0.764,0.77
41,0.223,0.237,0.763,0.769
42,0.196,0.235,0.766,0.776
43,0.172,0.244,0.757,0.773
44,0.196,0.229,0.771,0.787
45,0.188,0.258,0.743,0.708
46,0.178,0.234,0.766,0.79
47,0.222,0.231,0.77,0.807
48,0.235,0.27,0.731,0.676
49,0.246,0.234,0.767,0.835
50,0.225,0.234,0.766,0.786
51,0.223,0.23,0.77,0.814
52,0.217,0.248,0.753,0.749
53,0.183,0.237,0.763,0.787
54,0.206,0.241,0.76,0.804
55,0.197,0.233,0.767,0.807
56,0.209,0.231,0.769,0.805
57,0.195,0.238,0.762,0.785
58,0.186,0.233,0.767,0.789
59,0.219,0.232,0.768,0.791
60,0.164,0.232,0.768,0.791
61,0.173,0.232,0.769,0.789
62,0.197,0.23,0.77,0.786
63,0.175,0.229,0.772,0.794
64,0.198,0.244,0.756,0.766
65,0.198,0.244,0.756,0.744
66,0.187,0.231,0.77,0.813
67,0.198,0.227,0.773,0.8
68,0.225,0.231,0.77,0.796
69,0.24,0.249,0.751,0.761
70,0.198,0.239,0.762,0.794
71,0.186,0.256,0.744,0.743
72,0.194,0.23,0.77,0.798
73,0.192,0.232,0.768,0.836
74,0.209,0.23,0.771,0.793
75,0.179,0.233,0.767,0.812
76,0.181,0.247,0.753,0.758
77,0.222,0.231,0.77,0.785
78,0.188,0.234,0.766,0.781
79,0.196,0.23,0.77,0.793
80,0.181,0.23,0.77,0.793
81,0.14,0.231,0.769,0.787
82,0.191,0.23,0.77,0.784
83,0.176,0.228,0.772,0.803
84,0.169,0.224,0.776,0.795
85,0.184,0.233,0.767,0.808
86,0.189,0.248,0.752,0.764
87,0.213,0.231,0.769,0.784
88,0.197,0.228,0.772,0.786
89,0.183,0.245,0.755,0.788
90,0.2,0.234,0.767,0.793
91,0.216,0.252,0.748,0.74
92,0.204,0.228,0.773,0.801
93,0.174,0.233,0.768,0.779
94,0.193,0.238,0.762,0.802
95,0.144,0.242,0.759,0.771
96,0.174,0.254,0.747,0.762
97,0.188,0.24,0.76,0.767
98,0.186,0.232,0.769,0.799
99,0.182,0.231,0.769,0.797
