epoch,train_loss,val_loss,dsc,iou
0,0.791514,0.444889,0.591477,0.544078
1,0.379312,0.351244,0.651708,0.568552
2,0.363211,0.296287,0.705643,0.761195
3,0.306609,0.315260,0.685874,0.826555
4,0.276077,0.289143,0.711737,0.735192
5,0.276677,0.286088,0.714609,0.682531
6,0.248921,0.274994,0.725880,0.702371
7,0.254529,0.270800,0.729997,0.721066
8,0.274216,0.269554,0.731347,0.716570
9,0.234740,0.268366,0.732446,0.717144
10,0.226061,0.268366,0.732446,0.717144
11,0.216629,0.271120,0.729609,0.705987
12,0.239200,0.263091,0.737836,0.728023
13,0.211246,0.275517,0.725253,0.717443
14,0.256103,0.267292,0.733377,0.709308
15,0.226074,0.251738,0.749037,0.753435
16,0.219795,0.275742,0.725023,0.687579
17,0.239709,0.253947,0.746578,0.758101
18,0.250286,0.285886,0.714579,0.692737
19,0.280457,0.259697,0.740758,0.712704
20,0.277698,0.271855,0.728792,0.734777
21,0.245506,0.239528,0.760950,0.759042
22,0.231413,0.238175,0.762433,0.765737
23,0.234826,0.229009,0.771509,0.772872
24,0.242902,0.237158,0.763320,0.779662
25,0.229628,0.264796,0.735581,0.699768
26,0.191331,0.233937,0.766722,0.782564
27,0.209741,0.245035,0.755457,0.756558
28,0.196446,0.237724,0.762827,0.770950
29,0.208268,0.236150,0.764357,0.773708
30,0.172841,0.236150,0.764357,0.773708
31,0.192126,0.236206,0.764288,0.773456
32,0.175902,0.238416,0.762141,0.768919
33,0.198502,0.229812,0.770692,0.799396
34,0.209410,0.234623,0.766000,0.807596
35,0.204051,0.239546,0.760935,0.773790
36,0.250303,0.251053,0.749295,0.737788
37,0.210095,0.240228,0.760197,0.777577
38,0.206515,0.243031,0.757541,0.742101
39,0.219595,0.232497,0.767878,0.783754
40,0.236260,0.287274,0.713034,0.710956
41,0.231120,0.248234,0.752071,0.759867
42,0.210415,0.234399,0.766007,0.783195
43,0.178852,0.230641,0.769643,0.796396
44,0.181221,0.242888,0.757538,0.788279
45,0.181870,0.241278,0.759053,0.761984
46,0.183515,0.232236,0.768172,0.806527
47,0.218636,0.232840,0.767494,0.779397
48,0.196176,0.230525,0.769880,0.786943
49,0.230084,0.233577,0.766828,0.777780
50,0.191864,0.233577,0.766828,0.777780
51,0.176771,0.233150,0.767215,0.781097
52,0.193817,0.229971,0.770415,0.799415
53,0.161047,0.235466,0.764890,0.783339
54,0.186041,0.239226,0.761179,0.799585
55,0.199903,0.238429,0.761817,0.766020
56,0.206012,0.222173,0.778197,0.816149
57,0.180685,0.241774,0.758649,0.814810
58,0.208498,0.260207,0.739904,0.748411
59,0.240679,0.251375,0.748820,0.747180
60,0.184603,0.237044,0.763247,0.781806
61,0.203593,0.235766,0.764482,0.785017
62,0.178113,0.234413,0.765779,0.766566
63,0.201330,0.234549,0.765796,0.846849
64,0.201174,0.240293,0.759964,0.786061
65,0.199755,0.232823,0.767524,0.791463
66,0.175894,0.229873,0.770312,0.805566
67,0.171722,0.230799,0.769493,0.793480
68,0.189765,0.233903,0.766406,0.794307
69,0.212766,0.230865,0.769377,0.796120
70,0.165501,0.230865,0.769377,0.796120
71,0.149268,0.230606,0.769664,0.797584
72,0.187743,0.237762,0.762498,0.779623
73,0.163732,0.236964,0.763282,0.797594
74,0.180113,0.232025,0.768250,0.796133
75,0.156255,0.234320,0.766007,0.806192
76,0.171222,0.233743,0.766487,0.807473
77,0.235877,0.229465,0.770815,0.809310
78,0.207891,0.249065,0.751112,0.789175
79,0.219954,0.237264,0.762900,0.780461
80,0.189274,0.243309,0.756761,0.750199
81,0.152579,0.232870,0.767348,0.792775
82,0.202261,0.234056,0.766179,0.779575
83,0.185134,0.235669,0.764605,0.816977
84,0.180870,0.230107,0.770036,0.821833
85,0.174778,0.230171,0.769991,0.830911
86,0.168554,0.230034,0.770185,0.803668
87,0.192431,0.242911,0.757328,0.774100
88,0.159510,0.235109,0.765081,0.796981
89,0.159535,0.233491,0.766714,0.799495
90,0.165020,0.233491,0.766714,0.799495
91,0.185109,0.234707,0.765519,0.797619
92,0.173765,0.238045,0.762184,0.778273
93,0.160813,0.233674,0.766564,0.798989
94,0.172088,0.241239,0.758982,0.794669
95,0.145659,0.233622,0.766630,0.798068
96,0.159295,0.248248,0.751930,0.731759
97,0.192559,0.230003,0.770103,0.775258
98,0.191785,0.264858,0.735329,0.728894
99,0.172656,0.259528,0.740686,0.744402
