image_path,mask_path
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_105/image.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_105/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI310-IOP-0890-T1/raw.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI310-IOP-0890-T1/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_130/image.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_130/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI027-Guys-0710-T1/raw.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI027-Guys-0710-T1/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI646-HH-2653-T1/raw.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI646-HH-2653-T1/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_117/image.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_117/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI436-HH-2153-T1/raw.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI436-HH-2153-T1/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI089-Guys-0757-T1/raw.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/IXI089-Guys-0757-T1/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_150/image.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_150/mask_GT.nii.gz
/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_151/image.nii.gz,/projects/F202500001HPCVLABEPICURE/andresousa615/rempe/processed_datasets/processed_datasets/treino/asl_t1_151/mask_GT.nii.gz
