-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.02%       5.718ms        16.43%        4.932s      18.266ms       0.000us         0.00%       10.660s      39.482ms           0 b           0 b     -17.32 Gb     -42.47 Gb           270  
                             CheckpointFunctionBackward         0.49%     146.789ms        16.19%        4.859s      17.996ms       0.000us         0.00%       10.621s      39.336ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
autograd::engine::evaluate_function: torch::autograd...         0.08%      24.794ms         0.28%      84.166ms      32.877us       0.000us         0.00%        7.140s       2.789ms           0 b           0 b      -2.25 Gb    -256.00 Mb          2560  
                                       c10d::allreduce_         0.00%     936.369us         0.01%       3.414ms     170.716us       0.000us         0.00%        7.134s     356.709ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.01%       1.907ms         0.01%       2.478ms     123.897us        7.134s        56.50%        7.134s     356.709ms           0 b           0 b           0 b           0 b            20  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us        7.134s        56.50%        7.134s     356.709ms           0 b           0 b           0 b           0 b            20  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        7.134s        56.50%        7.134s     356.709ms           0 b           0 b           0 b           0 b            20  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        5.014s        39.71%        5.014s     501.416ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.10%      30.943ms         9.46%        2.839s       3.226ms       0.000us         0.00%        2.683s       3.049ms           0 b           0 b     -49.22 Gb    -168.45 Gb           880  
