epoch,train_loss,val_loss,dsc,iou
0,0.790722,0.407185,0.629678,0.684601
1,0.399094,0.327188,0.676971,0.712412
2,0.358663,0.306509,0.695372,0.766263
3,0.291246,0.300127,0.701033,0.768326
4,0.290945,0.286756,0.714392,0.687548
5,0.289028,0.265737,0.735375,0.737220
6,0.240682,0.273409,0.727399,0.753513
7,0.245033,0.264568,0.736525,0.739813
8,0.253014,0.259270,0.741657,0.735545
9,0.239770,0.261058,0.739910,0.733158
10,0.243599,0.261058,0.739910,0.733158
11,0.224952,0.264217,0.736776,0.719751
12,0.254941,0.263121,0.737737,0.726302
13,0.237392,0.249154,0.751923,0.759416
14,0.241515,0.273503,0.727194,0.684556
15,0.229510,0.263222,0.737577,0.770755
16,0.231873,0.269136,0.731434,0.738058
17,0.248422,0.278631,0.722051,0.772728
18,0.259337,0.276310,0.724228,0.729618
19,0.269083,0.254229,0.746326,0.726829
20,0.283885,0.275267,0.725076,0.672477
21,0.243807,0.234429,0.766152,0.801134
22,0.216480,0.250852,0.749573,0.735035
23,0.231637,0.235140,0.765284,0.756886
24,0.241169,0.240466,0.759972,0.766564
25,0.196657,0.253609,0.746848,0.722637
26,0.203474,0.235534,0.765125,0.787612
27,0.205194,0.237630,0.762893,0.755423
28,0.198611,0.226226,0.774294,0.791790
29,0.206314,0.226637,0.773818,0.795645
30,0.170389,0.226637,0.773818,0.795645
31,0.186957,0.227451,0.773106,0.787644
32,0.188523,0.229101,0.771412,0.777093
33,0.199644,0.225385,0.775217,0.802757
34,0.216108,0.230113,0.770374,0.781252
35,0.198401,0.234135,0.766369,0.763230
36,0.255057,0.237012,0.763337,0.758622
37,0.205802,0.247065,0.753463,0.769584
38,0.223211,0.235733,0.764726,0.769627
39,0.215646,0.238930,0.761432,0.766927
40,0.248887,0.284915,0.715278,0.665246
41,0.243314,0.237151,0.763367,0.787213
42,0.234478,0.230339,0.770195,0.794829
43,0.178585,0.256005,0.744194,0.744779
44,0.180381,0.248889,0.751359,0.744325
45,0.190573,0.243779,0.756524,0.767874
46,0.159207,0.233243,0.767130,0.791670
47,0.201506,0.228505,0.772008,0.805843
48,0.204234,0.234686,0.765677,0.766938
49,0.217350,0.233415,0.766979,0.770633
50,0.198123,0.233415,0.766979,0.770633
51,0.180362,0.230824,0.769586,0.779304
52,0.203065,0.234044,0.766334,0.778295
53,0.161918,0.236428,0.763965,0.780400
54,0.188504,0.236358,0.763999,0.773865
55,0.199885,0.230836,0.769573,0.816470
56,0.211887,0.223287,0.777073,0.820704
57,0.182474,0.233616,0.766807,0.795726
58,0.192758,0.245695,0.754668,0.793693
59,0.237377,0.239512,0.760896,0.770631
60,0.188049,0.258889,0.741495,0.732972
61,0.213702,0.235281,0.764848,0.778634
62,0.188381,0.252155,0.748060,0.761920
63,0.200438,0.226469,0.773826,0.825863
64,0.211922,0.227077,0.773200,0.813595
65,0.202410,0.251634,0.748635,0.760220
66,0.163717,0.242411,0.757836,0.777972
67,0.176373,0.235525,0.764581,0.780452
68,0.216805,0.234110,0.766060,0.783619
69,0.224450,0.237302,0.762921,0.776411
70,0.169862,0.237302,0.762921,0.776411
71,0.157107,0.233286,0.766966,0.786334
72,0.182190,0.231220,0.769026,0.790820
73,0.159251,0.232283,0.767954,0.790611
74,0.192853,0.229573,0.770640,0.796543
75,0.188119,0.229220,0.771078,0.827139
76,0.156461,0.233092,0.767067,0.769560
77,0.223229,0.245480,0.754708,0.777174
78,0.202526,0.239286,0.760866,0.780997
79,0.225983,0.226010,0.774226,0.799232
80,0.198019,0.226425,0.773728,0.769597
81,0.197514,0.229474,0.770767,0.844254
82,0.211977,0.233598,0.766720,0.797600
83,0.193659,0.235517,0.764724,0.819820
84,0.194796,0.246913,0.753248,0.756287
85,0.182007,0.232546,0.767660,0.791318
86,0.176319,0.224595,0.775664,0.817025
87,0.182825,0.231682,0.768571,0.784277
88,0.151566,0.229200,0.771005,0.793860
89,0.158484,0.228463,0.771768,0.796013
90,0.169355,0.228463,0.771768,0.796013
91,0.190070,0.228580,0.771708,0.799638
92,0.183098,0.234203,0.766072,0.776426
93,0.166183,0.231902,0.768309,0.786780
94,0.161680,0.226197,0.774084,0.792712
95,0.169907,0.229731,0.770540,0.816992
96,0.172277,0.228842,0.771393,0.792876
97,0.189867,0.242611,0.757501,0.765369
98,0.198427,0.244422,0.755802,0.777222
99,0.187399,0.217446,0.782740,0.818669
100,0.192766,0.230192,0.769967,0.812174
101,0.211437,0.238093,0.762104,0.779199
102,0.163071,0.221943,0.778276,0.813011
103,0.174993,0.220456,0.779767,0.819772
104,0.166009,0.239509,0.760594,0.743157
105,0.197407,0.226211,0.773952,0.770848
106,0.155032,0.222500,0.777743,0.820996
107,0.159974,0.225928,0.774285,0.818720
108,0.152667,0.230810,0.769433,0.795490
109,0.151268,0.229054,0.771188,0.798030
110,0.166468,0.229054,0.771188,0.798030
111,0.154773,0.227784,0.772433,0.803101
112,0.151566,0.227482,0.772743,0.807273
113,0.175193,0.232182,0.767997,0.781630
114,0.161716,0.221788,0.778465,0.825623
115,0.196131,0.232000,0.768263,0.777353
116,0.137584,0.234908,0.765300,0.796851
117,0.183807,0.230191,0.770043,0.795435
118,0.160134,0.248248,0.751870,0.735376
119,0.145485,0.257066,0.743118,0.720567
120,0.154417,0.240279,0.759866,0.782976
121,0.190562,0.216367,0.783841,0.831697
122,0.160486,0.219591,0.780604,0.794566
123,0.165669,0.222810,0.777415,0.823118
124,0.185029,0.260081,0.740058,0.726350
125,0.169224,0.226269,0.773825,0.798079
126,0.155007,0.228190,0.772019,0.790618
127,0.138968,0.236765,0.763388,0.784704
128,0.187065,0.226674,0.773483,0.805351
129,0.146789,0.227744,0.772418,0.799618
130,0.137920,0.227744,0.772418,0.799618
131,0.138851,0.226847,0.773317,0.800990
132,0.149997,0.228670,0.771506,0.796085
133,0.152476,0.229819,0.770336,0.793880
134,0.144323,0.236626,0.763499,0.767845
135,0.161398,0.228764,0.771451,0.801556
