epoch, phase      , avg_ms , total_ms, peak_vram_mb, vram_delta_mb, loader_starvation_ms, nccl_ms, gpu_util_pct
    0, data_to_gpu,    1.05,    25.23,        138.9, 16.0         ,               3812.0,    27.0,         82.9
    0, forward    ,  522.82, 12547.60,      19576.8, 49615.2      ,               3812.0,    27.0,         82.9
    0, backward   , 1788.38, 42921.05,      19941.7, -49586.8     ,               3812.0,    27.0,         82.9
    0, optimizer  ,    8.11,   194.67,        152.1, 42.4         ,               3812.0,    27.0,         82.9
    0, val_forward,   85.69,   514.15,       3038.4, 64.0         ,               3812.0,    27.0,         82.9
    0, val_metrics,   15.31,    91.87,        204.0, 0.0          ,               3812.0,    27.0,         82.9
    1, data_to_gpu,    1.02,    24.60,        138.9, 16.0         ,               8488.6,     8.3,         67.8
    1, forward    ,   84.19,  2020.65,       3906.4, 49616.0      ,               8488.6,     8.3,         67.8
    1, backward   , 1306.15, 31347.68,       6212.4, -49608.0     ,               8488.6,     8.3,         67.8
    1, optimizer  ,    4.34,   104.19,        152.1, 0.0          ,               8488.6,     8.3,         67.8
    1, val_forward,   84.57,   507.44,       3038.4, 64.0         ,               8488.6,     8.3,         67.8
    1, val_metrics,    2.01,    12.06,        204.0, 0.0          ,               8488.6,     8.3,         67.8
    2, data_to_gpu,    1.08,    25.95,        138.9, 16.0         ,              16182.3,    10.1,         27.8
    2, forward    ,   84.78,  2034.71,       3906.4, 49616.0      ,              16182.3,    10.1,         27.8
    2, backward   ,  627.45, 15058.71,       6212.4, -49608.0     ,              16182.3,    10.1,         27.8
    2, optimizer  ,    6.35,   152.28,        152.1, 0.0          ,              16182.3,    10.1,         27.8
    2, val_forward,   84.67,   507.99,       3038.4, 64.0         ,              16182.3,    10.1,         27.8
    2, val_metrics,    2.53,    15.15,        204.0, 0.0          ,              16182.3,    10.1,         27.8
    3, data_to_gpu,    1.05,    25.20,        138.9, 16.0         ,              17561.3,     8.6,         46.3
    3, forward    ,   84.27,  2022.43,       3906.4, 49616.0      ,              17561.3,     8.6,         46.3
    3, backward   ,  796.19, 19108.63,       6212.4, -49608.0     ,              17561.3,     8.6,         46.3
