epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,1.25,30.03,138.9,16.0,7337.2,24.1,74.4
0,forward,341.47,8195.36,19576.8,49615.2,7337.2,24.1,74.4
0,backward,1077.36,25856.67,19941.7,-49585.8,7337.2,24.1,74.4
0,optimizer,11.82,283.71,152.1,42.4,7337.2,24.1,74.4
0,val_forward,84.59,507.57,3039.4,64.0,7337.2,24.1,74.4
0,val_metrics,51.89,311.32,204.9,0.0,7337.2,24.1,74.4
1,data_to_gpu,1.57,37.72,138.9,16.0,1587.1,6.7,82.3
1,forward,84.10,2018.49,3906.4,49616.0,1587.1,6.7,82.3
1,backward,1026.21,24628.95,6212.4,-49609.0,1587.1,6.7,82.3
1,optimizer,3.99,95.86,152.1,0.0,1587.1,6.7,82.3
1,val_forward,84.57,507.43,3038.4,64.0,1587.1,6.7,82.3
1,val_metrics,1.91,11.47,204.0,0.0,1587.1,6.7,82.3
2,data_to_gpu,1.92,46.06,138.9,16.0,1472.3,18.7,42.5
2,forward,85.65,2055.58,3906.4,49617.0,1472.3,18.7,42.5
2,backward,768.28,18438.78,6213.4,-49609.0,1472.3,18.7,42.5
2,optimizer,6.41,153.90,152.1,0.0,1472.3,18.7,42.5
2,val_forward,84.51,507.08,3038.4,64.0,1472.3,18.7,42.5
2,val_metrics,2.35,14.08,204.0,0.0,1472.3,18.7,42.5
3,data_to_gpu,1.26,30.18,138.9,16.0,15845.8,8.1,38.8
3,forward,84.09,2018.11,3906.4,49616.0,15845.8,8.1,38.8
3,backward,428.10,10274.33,6212.4,-49608.0,15845.8,8.1,38.8
3,optimizer,4.42,106.05,152.1,0.0,15845.8,8.1,38.8
3,val_forward,84.47,506.81,3038.4,64.0,15845.8,8.1,38.8
3,val_metrics,2.28,13.68,204.0,0.0,15845.8,8.1,38.8
4,data_to_gpu,1.37,32.85,138.9,16.0,1274.6,7.9,82.8
4,forward,84.07,2017.61,3906.4,49616.0,1274.6,7.9,82.8
4,backward,1087.15,26091.67,6212.4,-49608.0,1274.6,7.9,82.8
4,optimizer,4.35,104.40,152.1,0.0,1274.6,7.9,82.8
4,val_forward,84.50,507.00,3038.4,64.0,1274.6,7.9,82.8
4,val_metrics,2.30,13.81,204.9,0.0,1274.6,7.9,82.8
5,data_to_gpu,1.26,30.23,138.9,16.0,1250.3,6.8,83.8
5,forward,84.07,2017.70,3906.4,49616.0,1250.3,6.8,83.8
5,backward,1090.08,26161.93,6212.4,-49608.0,1250.3,6.8,83.8
5,optimizer,4.39,105.26,152.1,0.0,1250.3,6.8,83.8
5,val_forward,84.53,507.16,3038.4,64.0,1250.3,6.8,83.8
5,val_metrics,2.34,14.03,204.0,0.0,1250.3,6.8,83.8
6,data_to_gpu,1.17,28.13,138.9,16.0,8060.3,8.3,55.7
6,forward,84.11,2018.60,3906.4,49617.0,8060.3,8.3,55.7
6,backward,531.87,12764.96,6213.4,-49609.0,8060.3,8.3,55.7
6,optimizer,4.57,109.65,152.1,0.0,8060.3,8.3,55.7
6,val_forward,84.54,507.26,3038.4,64.0,8060.3,8.3,55.7
6,val_metrics,2.31,13.85,204.0,0.0,8060.3,8.3,55.7
7,data_to_gpu,1.18,28.36,138.9,16.0,22839.9,7.0,22.7
7,forward,84.05,2017.18,3906.4,49616.0,22839.9,7.0,22.7
7,backward,220.58,5293.84,6212.4,-49608.0,22839.9,7.0,22.7
7,optimizer,4.23,101.58,152.1,0.0,22839.9,7.0,22.7
7,val_forward,84.44,506.63,3038.4,64.0,22839.9,7.0,22.7
7,val_metrics,2.26,13.57,204.9,0.0,22839.9,7.0,22.7
8,data_to_gpu,1.35,32.49,138.9,16.0,1294.2,7.9,82.9
8,forward,84.10,2018.28,3906.4,49616.0,1294.2,7.9,82.9
8,backward,1015.95,24382.73,6212.4,-49608.0,1294.2,7.9,82.9
8,optimizer,4.37,104.93,152.1,0.0,1294.2,7.9,82.9
8,val_forward,84.54,507.21,3038.4,64.0,1294.2,7.9,82.9
8,val_metrics,2.26,13.59,204.0,0.0,1294.2,7.9,82.9
9,data_to_gpu,1.29,31.01,138.9,16.0,1161.5,7.5,84.4
9,forward,84.05,2017.19,3906.4,49617.0,1161.5,7.5,84.4
9,backward,1099.02,26376.56,6213.4,-49609.0,1161.5,7.5,84.4
9,optimizer,4.32,103.76,152.1,0.0,1161.5,7.5,84.4
9,val_forward,85.14,510.83,3038.4,64.0,1161.5,7.5,84.4
9,val_metrics,2.29,13.74,204.0,0.0,1161.5,7.5,84.4
