-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.87%      40.517ms         1.84%      85.869ms      75.991us     250.403ms         7.79%     250.403ms     221.596us           0 b           0 b     119.43 Gb     119.43 Gb          1130  
                                            aten::empty         0.90%      41.767ms         0.90%      41.767ms       5.591us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.97 Gb     117.97 Gb          7470  
                                             aten::gelu         0.17%       8.000ms         0.59%      27.562ms      53.004us     124.592ms         3.87%     124.592ms     239.600us           0 b           0 b      80.57 Gb      80.57 Gb           520  
                             aten::convolution_backward         1.05%      49.157ms         5.65%     263.328ms     299.236us     881.616ms        27.42%     958.433ms       1.089ms           0 b           0 b      84.74 Gb      67.91 Gb           880  
                                              aten::add         0.20%       9.397ms         0.39%      18.192ms      23.323us     119.420ms         3.71%     119.420ms     153.103us           0 b           0 b      51.60 Gb      51.60 Gb           780  
                                    aten::gelu_backward         0.07%       3.424ms         0.94%      43.617ms     167.757us      92.128ms         2.86%      92.128ms     354.337us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.17%       7.839ms         0.27%      12.356ms      68.645us     232.199ms         7.22%     232.199ms       1.290ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.36%      16.628ms         0.36%      16.628ms       6.871us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.96 Gb       6.96 Gb          2420  
                                              aten::mul         0.02%     968.270us         0.03%       1.527ms      30.538us     526.270us         0.02%     526.270us      10.525us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.01%     338.118us         0.01%     495.358us      49.536us      90.783us         0.00%      90.783us       9.078us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.03%       1.253ms         0.03%       1.368ms     136.811us     123.552us         0.00%     123.552us      12.355us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                              aten::sum         0.43%      20.214ms         1.94%      90.651ms      99.616us      77.359ms         2.41%      77.359ms      85.010us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.02%       1.149ms         0.02%       1.149ms       4.418us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
autograd::engine::evaluate_function: torch::autograd...         0.51%      23.986ms         2.59%     120.655ms      47.131us       0.000us         0.00%      26.545ms      10.369us           0 b           0 b      21.50 Kb     163.00 Kb          2560  
                                            aten::zero_         0.00%     140.039us         0.06%       3.029ms     302.899us       0.000us         0.00%      21.376us       2.138us           0 b           0 b    -141.50 Kb      65.00 Kb            10  
                                              aten::div         0.01%     634.967us         0.02%     962.558us      24.064us     106.944us         0.00%     106.944us       2.674us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.02%     829.197us         0.03%       1.252ms      62.577us      50.496us         0.00%      50.496us       2.525us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.01%     374.158us         0.01%     580.789us      58.079us      27.488us         0.00%      27.488us       2.749us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                              aten::sub         0.00%     180.709us         0.01%     287.249us      28.725us      23.936us         0.00%      23.936us       2.394us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                             aten::item         0.10%       4.836ms         0.18%       8.390ms       1.820us       0.000us         0.00%     466.239us       0.101us           0 b           0 b           0 b           0 b          4610  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.662s
Self CUDA time total: 3.216s
