epoch,train_loss,val_loss,dsc,iou
0,0.891315,0.910017,0.131846,0.770802
1,0.859791,0.878450,0.251874,0.821782
2,0.853927,0.860364,0.283241,0.986478
3,0.841564,0.841782,0.354711,0.983582
4,0.830410,0.808569,0.555056,0.953187
5,0.847153,0.782795,0.636644,0.811183
6,0.848495,0.776654,0.607355,0.930436
7,0.834648,0.737111,0.657520,0.890546
8,0.798886,0.710286,0.657853,0.871824
9,0.776904,0.703158,0.675537,0.857097
10,0.775129,0.719326,0.663359,0.878217
11,0.797996,0.708019,0.675781,0.873277
12,0.777886,0.640161,0.701920,0.825987
13,0.785499,0.566247,0.696020,0.806535
14,0.738665,0.509585,0.613380,0.921693
15,0.656356,0.536647,0.680219,0.669219
16,0.811794,0.694446,0.504435,0.382817
17,0.773806,0.537728,0.640198,0.857154
18,0.666404,0.613900,0.517917,0.869651
19,0.669716,0.427028,0.685998,0.644853
20,0.737928,0.492027,0.695175,0.685428
21,0.749382,0.579870,0.518300,0.819650
22,0.727326,0.381576,0.679660,0.824517
23,0.535595,0.430694,0.650360,0.846006
24,0.573117,0.411629,0.698806,0.656722
25,0.602919,0.381644,0.716647,0.749964
26,0.617954,0.369532,0.716510,0.707102
27,0.606950,0.371841,0.727689,0.757635
28,0.522411,0.377696,0.728110,0.760419
29,0.629833,0.365719,0.729756,0.760716
30,0.502583,0.372885,0.727953,0.754428
31,0.617049,0.351485,0.728473,0.753711
32,0.635522,0.355253,0.728443,0.741312
33,0.538700,0.362298,0.711694,0.807650
34,0.547995,0.363430,0.721935,0.719395
35,0.592485,0.400914,0.693644,0.663196
36,0.610729,0.329914,0.715302,0.750868
37,0.513309,0.314612,0.712693,0.692584
38,0.678368,0.342864,0.721206,0.796394
39,0.557775,0.385408,0.683292,0.618382
40,0.502590,0.373635,0.718767,0.728811
41,0.661576,0.328932,0.721218,0.750031
42,0.461080,0.329167,0.725845,0.756337
43,0.594010,0.853560,0.383841,0.930448
44,0.630206,0.887865,0.117758,0.985764
45,0.478117,0.910513,0.103092,0.986950
46,0.390528,0.877284,0.321617,0.947003
47,0.319569,0.875119,0.317227,0.936910
48,0.549805,0.871570,0.402983,0.915819
49,0.579043,0.867649,0.420800,0.916761
50,0.441845,0.872846,0.391474,0.919318
51,0.460073,0.872587,0.364957,0.924468
52,0.461106,0.869291,0.426676,0.907210
53,0.435872,0.864804,0.521106,0.847476
54,0.485110,0.880753,0.326776,0.927516
55,0.601883,0.878129,0.337609,0.937821
56,0.513970,0.869500,0.603071,0.865870
57,0.473025,0.877459,0.605529,0.777680
58,0.389636,0.892809,0.170302,0.965823
59,0.604761,0.866073,0.654531,0.802851
60,0.535506,0.859046,0.266272,0.927623
61,0.478196,0.924944,0.077486,0.991825
62,0.359538,0.892068,0.174925,0.948249
63,0.461783,0.874945,0.394083,0.792711
64,0.487066,0.865341,0.414879,0.877153
65,0.349655,0.865084,0.600375,0.863153
66,0.451283,0.864832,0.568569,0.892563
67,0.551401,0.861353,0.461021,0.891915
68,0.377991,0.853910,0.594819,0.888425
69,0.463833,0.863967,0.558931,0.897447
70,0.390315,0.858034,0.590154,0.894715
71,0.430489,0.862655,0.613130,0.889314
72,0.472318,0.856854,0.603941,0.880381
73,0.456933,0.858130,0.619037,0.861719
74,0.424154,0.859591,0.615860,0.892324
75,0.526726,0.865611,0.617508,0.876295
76,0.334285,0.890524,0.164142,0.926161
77,0.463807,0.798701,0.551337,0.918591
78,0.344470,0.865924,0.233602,0.901839
79,0.366436,0.649915,0.594191,0.847106
80,0.454752,0.536035,0.653025,0.824884
81,0.364692,0.478300,0.623083,0.825449
82,0.348767,0.704841,0.371834,0.877108
83,0.322450,0.291177,0.725679,0.723786
84,0.285823,0.321953,0.736385,0.715424
85,0.299592,0.327596,0.739483,0.788307
86,0.282835,0.304202,0.742772,0.746553
87,0.315117,0.311312,0.739940,0.721589
88,0.240896,0.305549,0.744437,0.743492
89,0.306364,0.295146,0.746091,0.759203
90,0.301937,0.303126,0.746106,0.747849
91,0.282948,0.302059,0.745939,0.745981
92,0.248828,0.302378,0.742478,0.729692
93,0.266604,0.314043,0.728855,0.683503
94,0.271654,0.322344,0.732485,0.759860
95,0.257782,0.319266,0.720817,0.670185
96,0.319242,0.391987,0.706506,0.797917
97,0.279622,0.319101,0.726739,0.671805
98,0.297625,0.292993,0.737165,0.750432
99,0.270402,0.297578,0.730417,0.750470
100,0.246856,0.303551,0.739003,0.756350
101,0.255227,0.293416,0.733976,0.700041
102,0.278696,0.296637,0.726060,0.711008
103,0.275266,0.283792,0.738918,0.733788
104,0.244742,0.396079,0.687415,0.690272
105,0.311135,0.281179,0.732114,0.695275
106,0.231614,0.291193,0.728905,0.727545
107,0.294773,0.280803,0.737702,0.773154
108,0.244285,0.275898,0.741775,0.752350
109,0.219154,0.280106,0.738238,0.736971
110,0.298091,0.279462,0.739280,0.742218
111,0.243622,0.279027,0.739596,0.736050
112,0.240771,0.280846,0.735999,0.721817
113,0.276889,0.279413,0.738847,0.745631
114,0.272905,0.283720,0.735645,0.737909
115,0.312673,0.276822,0.737239,0.716130
116,0.251160,0.288276,0.724628,0.672435
117,0.259828,0.272519,0.743710,0.734834
118,0.217559,0.287073,0.727512,0.713392
119,0.245409,0.268316,0.745235,0.735048
120,0.224107,0.545098,0.491850,0.714083
121,0.260861,0.266067,0.740807,0.811950
