image_path,mask_path
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI482-HH-2178-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI482-HH-2178-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_131\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_131\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI518-HH-2239-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI518-HH-2239-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_129\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_129\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI236-Guys-0817-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI236-Guys-0817-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI140-Guys-0787-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI140-Guys-0787-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI399-Guys-0966-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI399-Guys-0966-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_17\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_17\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI593-Guys-1109-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI593-Guys-1109-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI354-HH-2024-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI354-HH-2024-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI288-Guys-0879-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI288-Guys-0879-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_112\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_112\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_105\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_105\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI479-Guys-1034-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI479-Guys-1034-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI522-HH-2453-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI522-HH-2453-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_151\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_151\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_130\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_130\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI104-HH-1450-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI104-HH-1450-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_146\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_146\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI146-HH-1389-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI146-HH-1389-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_117\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_117\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_152\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_152\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_147\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_147\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI646-HH-2653-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI646-HH-2653-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI164-Guys-0844-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI164-Guys-0844-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI115-Guys-0738-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI115-Guys-0738-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI394-Guys-0940-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI394-Guys-0940-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI294-IOP-0868-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI294-IOP-0868-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI277-HH-1770-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI277-HH-1770-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI131-HH-1527-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI131-HH-1527-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_122\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_122\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI019-Guys-0702-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI019-Guys-0702-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI428-Guys-0996-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI428-Guys-0996-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI407-Guys-0964-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI407-Guys-0964-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI433-IOP-0989-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI433-IOP-0989-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_25\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_25\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI298-Guys-0861-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI298-Guys-0861-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_109\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_109\mask_GT.nii.gz
