epoch,train_loss,val_loss,dsc,iou
0,0.507,0.376,0.626,0.817
1,0.379,0.356,0.645,0.657
2,0.336,0.275,0.726,0.786
3,0.31,0.265,0.736,0.86
4,0.281,0.236,0.765,0.764
5,0.25,0.231,0.77,0.777
6,0.234,0.191,0.81,0.867
7,0.225,0.191,0.809,0.824
8,0.21,0.183,0.818,0.85
9,0.199,0.178,0.823,0.849
10,0.196,0.178,0.823,0.849
11,0.193,0.176,0.824,0.838
12,0.206,0.173,0.828,0.839
13,0.2,0.18,0.821,0.845
14,0.21,0.189,0.811,0.835
15,0.216,0.176,0.824,0.863
16,0.224,0.183,0.817,0.826
17,0.228,0.187,0.813,0.806
18,0.218,0.176,0.825,0.857
19,0.216,0.219,0.781,0.767
20,0.225,0.173,0.827,0.861
21,0.222,0.185,0.815,0.814
22,0.208,0.168,0.832,0.837
23,0.203,0.201,0.799,0.851
24,0.194,0.171,0.829,0.845
25,0.198,0.163,0.837,0.89
26,0.173,0.16,0.84,0.878
27,0.171,0.151,0.85,0.877
28,0.162,0.148,0.852,0.876
29,0.166,0.148,0.853,0.884
30,0.158,0.148,0.853,0.884
31,0.17,0.148,0.852,0.872
32,0.162,0.15,0.851,0.871
33,0.164,0.148,0.852,0.869
34,0.17,0.158,0.842,0.866
35,0.175,0.155,0.845,0.879
36,0.175,0.164,0.837,0.904
37,0.183,0.169,0.831,0.869
38,0.188,0.172,0.828,0.854
39,0.194,0.193,0.807,0.792
40,0.198,0.183,0.817,0.804
41,0.197,0.187,0.813,0.88
42,0.195,0.164,0.836,0.853
43,0.171,0.16,0.84,0.837
44,0.171,0.159,0.842,0.87
45,0.166,0.15,0.85,0.865
46,0.156,0.154,0.846,0.857
47,0.156,0.147,0.853,0.848
48,0.152,0.141,0.859,0.882
49,0.147,0.141,0.859,0.878
50,0.152,0.141,0.859,0.878
51,0.139,0.141,0.859,0.877
52,0.153,0.143,0.858,0.872
53,0.149,0.142,0.858,0.895
54,0.149,0.142,0.859,0.883
55,0.163,0.152,0.848,0.856
56,0.163,0.15,0.85,0.872
57,0.163,0.163,0.837,0.855
58,0.175,0.155,0.846,0.887
59,0.169,0.156,0.844,0.9
60,0.169,0.169,0.831,0.813
61,0.172,0.171,0.829,0.9
62,0.182,0.169,0.832,0.903
63,0.176,0.152,0.848,0.877
64,0.16,0.153,0.847,0.863
65,0.165,0.163,0.837,0.852
66,0.155,0.147,0.853,0.848
67,0.144,0.14,0.86,0.875
68,0.146,0.138,0.862,0.873
69,0.137,0.137,0.863,0.88
70,0.135,0.137,0.863,0.88
71,0.136,0.137,0.863,0.884
72,0.137,0.137,0.863,0.886
73,0.139,0.141,0.859,0.891
74,0.141,0.14,0.86,0.885
75,0.148,0.139,0.862,0.909
76,0.154,0.143,0.857,0.905
77,0.163,0.16,0.84,0.81
78,0.166,0.157,0.843,0.877
79,0.165,0.17,0.83,0.869
80,0.169,0.153,0.847,0.869
81,0.161,0.158,0.842,0.815
82,0.164,0.15,0.85,0.866
83,0.154,0.156,0.845,0.873
84,0.154,0.156,0.844,0.846
85,0.142,0.149,0.851,0.892
86,0.135,0.141,0.859,0.886
87,0.132,0.138,0.862,0.885
88,0.129,0.138,0.862,0.884
89,0.131,0.139,0.861,0.882
