epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,9.55,229.25,138.9,16.0,1465.7,12.4,93.8
0,forward,393.38,9441.13,19576.8,49615.2,1465.7,12.4,93.8
0,backward,1105.76,26538.33,19941.7,-49585.8,1465.7,12.4,93.8
0,optimizer,7.91,189.83,152.1,42.4,1465.7,12.4,93.8
0,val_forward,92.66,555.95,3039.4,64.0,1465.7,12.4,93.8
0,val_metrics,35.02,210.13,204.9,0.0,1465.7,12.4,93.8
1,data_to_gpu,8.95,214.91,138.9,16.0,1005.0,8.2,84.8
1,forward,84.10,2018.46,3906.4,49616.0,1005.0,8.2,84.8
1,backward,278.62,6686.80,6212.4,-49609.0,1005.0,8.2,84.8
1,optimizer,4.01,96.16,152.1,0.0,1005.0,8.2,84.8
1,val_forward,88.86,533.18,3038.4,64.0,1005.0,8.2,84.8
1,val_metrics,1.93,11.58,204.0,0.0,1005.0,8.2,84.8
2,data_to_gpu,8.70,208.78,138.9,16.0,1132.5,11.2,28.6
2,forward,84.77,2034.40,3906.4,49617.0,1132.5,11.2,28.6
2,backward,245.04,5881.02,6213.4,-49609.0,1132.5,11.2,28.6
2,optimizer,30.26,726.16,152.1,0.0,1132.5,11.2,28.6
2,val_forward,88.80,532.83,3038.4,64.0,1132.5,11.2,28.6
2,val_metrics,2.34,14.06,204.0,0.0,1132.5,11.2,28.6
3,data_to_gpu,9.06,217.39,138.9,16.0,3045.7,8.2,68.2
3,forward,84.07,2017.72,3906.4,49616.0,3045.7,8.2,68.2
3,backward,218.67,5248.14,6212.4,-49608.0,3045.7,8.2,68.2
3,optimizer,4.32,103.58,152.1,0.0,3045.7,8.2,68.2
3,val_forward,88.87,533.24,3038.4,64.0,3045.7,8.2,68.2
3,val_metrics,2.60,15.60,204.0,0.0,3045.7,8.2,68.2
4,data_to_gpu,8.76,210.25,138.9,16.0,800.0,8.3,87.0
4,forward,84.10,2018.39,3906.4,49616.0,800.0,8.3,87.0
4,backward,292.06,7009.55,6212.4,-49608.0,800.0,8.3,87.0
4,optimizer,4.62,110.86,152.1,0.0,800.0,8.3,87.0
4,val_forward,89.18,535.09,3038.4,64.0,800.0,8.3,87.0
4,val_metrics,2.31,13.84,204.9,0.0,800.0,8.3,87.0
5,data_to_gpu,9.08,218.04,138.9,16.0,1563.7,8.6,79.6
5,forward,84.03,2016.65,3906.4,49616.0,1563.7,8.6,79.6
5,backward,241.30,5791.18,6212.4,-49608.0,1563.7,8.6,79.6
5,optimizer,4.44,106.63,152.1,0.0,1563.7,8.6,79.6
5,val_forward,88.79,532.71,3038.4,64.0,1563.7,8.6,79.6
5,val_metrics,2.46,14.79,204.0,0.0,1563.7,8.6,79.6
6,data_to_gpu,8.96,214.95,138.9,16.0,2890.5,8.3,69.1
6,forward,84.06,2017.42,3906.4,49617.0,2890.5,8.3,69.1
6,backward,218.78,5250.64,6213.4,-49609.0,2890.5,8.3,69.1
6,optimizer,4.28,102.67,152.1,0.0,2890.5,8.3,69.1
6,val_forward,89.47,536.79,3038.4,64.0,2890.5,8.3,69.1
6,val_metrics,2.30,13.81,204.0,0.0,2890.5,8.3,69.1
7,data_to_gpu,9.10,218.46,138.9,16.0,3048.3,8.0,68.5
7,forward,84.05,2017.10,3906.4,49616.0,3048.3,8.0,68.5
7,backward,218.56,5245.48,6212.4,-49608.0,3048.3,8.0,68.5
7,optimizer,4.34,104.10,152.1,0.0,3048.3,8.0,68.5
7,val_forward,88.84,533.04,3038.4,64.0,3048.3,8.0,68.5
7,val_metrics,2.28,13.67,204.9,0.0,3048.3,8.0,68.5
8,data_to_gpu,8.87,212.95,138.9,16.0,975.6,9.2,84.2
8,forward,84.04,2016.89,3906.4,49616.0,975.6,9.2,84.2
8,backward,254.26,6102.30,6212.4,-49608.0,975.6,9.2,84.2
8,optimizer,4.44,106.45,152.1,0.0,975.6,9.2,84.2
8,val_forward,89.04,534.24,3038.4,64.0,975.6,9.2,84.2
8,val_metrics,2.29,13.71,204.0,0.0,975.6,9.2,84.2
9,data_to_gpu,8.52,204.44,138.9,16.0,2105.6,9.0,75.4
9,forward,84.10,2018.41,3906.4,49617.0,2105.6,9.0,75.4
9,backward,230.70,5536.70,6213.4,-49609.0,2105.6,9.0,75.4
9,optimizer,4.39,105.30,152.1,0.0,2105.6,9.0,75.4
9,val_forward,88.84,533.05,3038.4,64.0,2105.6,9.0,75.4
9,val_metrics,2.32,13.94,204.0,0.0,2105.6,9.0,75.4
10,data_to_gpu,8.56,205.47,138.9,16.0,1510.8,7.8,79.9
10,forward,84.05,2017.11,3906.4,49616.0,1510.8,7.8,79.9
10,backward,234.02,5616.47,6212.4,-49608.0,1510.8,7.8,79.9
10,optimizer,4.51,108.29,152.1,0.0,1510.8,7.8,79.9
10,val_forward,88.86,533.18,3038.4,64.0,1510.8,7.8,79.9
10,val_metrics,2.53,15.16,204.9,0.0,1510.8,7.8,79.9
11,data_to_gpu,9.06,217.33,138.9,16.0,874.4,8.6,85.7
11,forward,84.05,2017.27,3906.4,49616.0,874.4,8.6,85.7
11,backward,258.33,6200.01,6212.4,-49608.0,874.4,8.6,85.7
11,optimizer,4.33,103.91,152.1,0.0,874.4,8.6,85.7
11,val_forward,88.79,532.73,3038.4,64.0,874.4,8.6,85.7
11,val_metrics,2.31,13.87,204.0,0.0,874.4,8.6,85.7
12,data_to_gpu,8.48,203.57,138.9,16.0,2244.1,9.9,73.3
12,forward,84.11,2018.57,3906.4,49617.0,2244.1,9.9,73.3
12,backward,218.55,5245.27,6213.4,-49609.0,2244.1,9.9,73.3
12,optimizer,4.59,110.25,152.1,0.0,2244.1,9.9,73.3
12,val_forward,88.79,532.77,3038.4,64.0,2244.1,9.9,73.3
12,val_metrics,2.28,13.71,204.0,0.0,2244.1,9.9,73.3
13,data_to_gpu,9.01,216.21,138.9,16.0,1422.2,8.3,81.0
13,forward,84.04,2017.02,3906.4,49616.0,1422.2,8.3,81.0
