-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.20%      39.599ms         0.40%      79.812ms      70.630us     252.228ms         1.97%     252.228ms     223.211us           0 b           0 b     119.43 Gb     119.43 Gb          1130  
                                            aten::empty         0.22%      43.374ms         0.22%      43.374ms       5.806us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.99 Gb     117.99 Gb          7470  
                                             aten::gelu         0.04%       7.676ms         0.06%      12.746ms      24.512us     124.597ms         0.97%     124.597ms     239.610us           0 b           0 b      80.56 Gb      80.56 Gb           520  
                             aten::convolution_backward         0.31%      62.743ms         2.77%     553.550ms     629.034us        1.127s         8.79%        1.205s       1.369ms           0 b           0 b      84.74 Gb      67.91 Gb           880  
                                              aten::add         0.05%       9.847ms         0.13%      26.423ms      33.875us     119.458ms         0.93%     119.458ms     153.151us           0 b           0 b      51.61 Gb      51.61 Gb           780  
                                    aten::gelu_backward         0.02%       3.908ms         0.12%      23.696ms      91.139us      92.052ms         0.72%      92.052ms     354.047us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.04%       8.352ms         0.07%      14.722ms      81.787us     275.482ms         2.15%     275.482ms       1.530ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.08%      15.011ms         0.08%      15.011ms       6.203us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.95 Gb       6.95 Gb          2420  
                                              aten::mul         0.01%       1.031ms         0.01%       1.607ms      32.150us     524.471us         0.00%     524.471us      10.489us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.00%     296.248us         0.00%     422.367us      42.237us      92.767us         0.00%      92.767us       9.277us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     201.110us         0.00%     326.889us      32.689us     125.600us         0.00%     125.600us      12.560us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                              aten::sum         0.11%      22.906ms         0.63%     124.812ms     137.156us      78.462ms         0.61%      78.462ms      86.222us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.01%       1.270ms         0.01%       1.270ms       4.885us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
autograd::engine::evaluate_function: torch::autograd...         0.13%      26.095ms         1.14%     227.423ms      88.837us       0.000us         0.00%        9.441s       3.688ms           0 b           0 b     -76.00 Kb     130.00 Kb          2560  
                                              aten::div         0.00%     742.846us         0.01%       1.105ms      27.613us     107.295us         0.00%     107.295us       2.682us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.01%       1.234ms         0.01%       1.956ms      97.815us      50.975us         0.00%      50.975us       2.549us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.00%     372.621us         0.00%     545.060us      54.506us      26.400us         0.00%      26.400us       2.640us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                              aten::sub         0.00%     176.770us         0.00%     260.180us      26.018us      23.968us         0.00%      23.968us       2.397us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                         cudaEventQuery         0.01%       2.160ms         0.01%       2.162ms       8.716us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b           248  
                                            aten::zero_         0.00%     181.029us         0.06%      12.515ms       1.252ms       0.000us         0.00%      21.568us       2.157us           0 b           0 b    -206.00 Kb         512 b            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 19.950s
Self CUDA time total: 12.816s
