-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.02%       3.800ms         6.56%        1.308s       4.846ms       0.000us         0.00%       11.731s      43.446ms           0 b           0 b     -17.32 Gb     -37.49 Gb           270  
                             CheckpointFunctionBackward         0.84%     167.336ms         6.53%        1.304s       4.828ms       0.000us         0.00%       11.723s      43.418ms           0 b     -16.88 Kb      20.17 Gb     -45.57 Gb           270  
autograd::engine::evaluate_function: torch::autograd...         0.13%      26.095ms         1.14%     227.423ms      88.837us       0.000us         0.00%        9.441s       3.688ms           0 b           0 b     -76.00 Kb     130.00 Kb          2560  
                                       c10d::allreduce_         0.01%       2.968ms         0.03%       6.098ms     304.902us       0.000us         0.00%        9.434s     471.700ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.01%       2.429ms         0.02%       3.130ms     156.491us        9.434s        73.61%        9.434s     471.700ms           0 b           0 b           0 b           0 b            20  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us        9.434s        73.61%        9.434s     471.700ms           0 b           0 b           0 b           0 b            20  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        9.434s        73.61%        9.434s     471.700ms           0 b           0 b           0 b           0 b            20  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.491s        19.44%        2.491s     249.142ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.06%      11.946ms         2.96%     589.652ms     670.059us       0.000us         0.00%        1.244s       1.413ms           0 b           0 b     -49.19 Gb    -147.23 Gb           880  
