epoch,train_loss,val_loss,dsc,iou
0,0.900253,0.835144,0.172824,0.914217
1,0.711832,0.465134,0.565076,0.703935
2,0.444025,0.386298,0.620303,0.745634
3,0.331481,0.317721,0.685612,0.695634
4,0.276244,0.294091,0.708849,0.688410
5,0.281883,0.285676,0.716857,0.696424
6,0.243198,0.290060,0.712027,0.708308
7,0.234448,0.284050,0.717789,0.704176
8,0.291370,0.279552,0.722229,0.718952
9,0.232918,0.278492,0.723307,0.719837
10,0.273254,0.278492,0.723307,0.719837
11,0.242576,0.277624,0.724386,0.714438
12,0.273773,0.270335,0.731720,0.732991
13,0.219869,0.279503,0.722425,0.705820
14,0.270360,0.293069,0.708512,0.676457
15,0.240291,0.284376,0.717519,0.756850
16,0.267468,0.273016,0.728642,0.716457
17,0.253126,0.262799,0.738436,0.771876
18,0.244401,0.267432,0.733815,0.708780
19,0.260653,0.267174,0.733848,0.696711
20,0.285312,0.283259,0.717511,0.668884
21,0.264701,0.256769,0.744078,0.734387
22,0.216728,0.249498,0.751414,0.743499
23,0.216753,0.245693,0.755269,0.765357
24,0.256194,0.245114,0.755732,0.739703
25,0.215353,0.251300,0.749710,0.719368
26,0.220434,0.235282,0.765750,0.839535
27,0.193107,0.240257,0.760531,0.745257
28,0.212257,0.233836,0.767042,0.763983
29,0.137937,0.230967,0.769946,0.777358
30,0.163067,0.230967,0.769946,0.777358
31,0.232725,0.230143,0.770804,0.778666
32,0.170234,0.229188,0.771833,0.784910
33,0.197850,0.234234,0.766718,0.782564
34,0.227428,0.231298,0.769583,0.775601
35,0.219329,0.230957,0.770308,0.802107
36,0.211154,0.227195,0.773985,0.814398
37,0.213979,0.235867,0.765050,0.796846
38,0.187618,0.227896,0.773478,0.803475
39,0.171711,0.235620,0.765044,0.754834
40,0.224752,0.239340,0.761779,0.767660
41,0.247557,0.228615,0.772128,0.802503
42,0.238154,0.234214,0.766677,0.803007
43,0.166037,0.224691,0.776100,0.803414
44,0.183431,0.218223,0.782606,0.791152
45,0.190732,0.234822,0.765954,0.745292
46,0.158339,0.218017,0.782941,0.827812
47,0.173905,0.222061,0.778867,0.775721
48,0.215474,0.217141,0.783734,0.805736
49,0.199094,0.215464,0.785463,0.800868
50,0.226589,0.215464,0.785463,0.800868
51,0.199399,0.215736,0.785102,0.799406
52,0.161797,0.217517,0.783374,0.804358
53,0.152385,0.217727,0.783316,0.813150
54,0.167175,0.221528,0.779315,0.793056
55,0.150437,0.229444,0.771258,0.779195
56,0.184813,0.220841,0.780061,0.793463
57,0.167121,0.231097,0.769713,0.787574
58,0.194080,0.226802,0.773670,0.774098
59,0.217333,0.244743,0.755674,0.741772
60,0.201676,0.252827,0.747710,0.774463
61,0.178385,0.244074,0.756588,0.772752
62,0.208651,0.234264,0.766335,0.770025
63,0.184714,0.232688,0.767790,0.789174
64,0.183127,0.227527,0.772923,0.791821
65,0.192395,0.224812,0.775885,0.806229
66,0.155586,0.217110,0.783587,0.807119
67,0.162748,0.225912,0.774893,0.801371
68,0.188719,0.223676,0.777001,0.806731
69,0.240465,0.224633,0.776093,0.801414
70,0.144141,0.224633,0.776093,0.801414
71,0.153411,0.225061,0.775746,0.799432
72,0.148795,0.222658,0.778079,0.801230
73,0.147421,0.222918,0.777725,0.795067
74,0.189574,0.226991,0.773748,0.813854
75,0.169772,0.229331,0.771444,0.804643
76,0.171616,0.244455,0.756140,0.762639
77,0.187141,0.226918,0.773514,0.778843
78,0.170567,0.236627,0.763740,0.772725
79,0.220328,0.232278,0.768236,0.804118
80,0.183066,0.247621,0.752740,0.751946
81,0.162512,0.226751,0.773692,0.826474
82,0.173511,0.242152,0.758216,0.742943
83,0.188613,0.231925,0.768483,0.808011
84,0.188528,0.230883,0.769547,0.773833
85,0.188693,0.223342,0.777019,0.794601
86,0.151162,0.226588,0.773959,0.807961
87,0.205224,0.234261,0.766143,0.758008
88,0.155927,0.224739,0.775673,0.795091
89,0.177184,0.225417,0.774971,0.795587
90,0.190662,0.225417,0.774971,0.795587
91,0.169609,0.226623,0.773766,0.791403
92,0.178068,0.226760,0.773685,0.794207
93,0.146815,0.224893,0.775613,0.807046
94,0.172127,0.230654,0.769833,0.782013
95,0.148988,0.227219,0.773223,0.819990
96,0.189922,0.229591,0.770828,0.800981
97,0.184340,0.234689,0.765535,0.778683
98,0.195323,0.233778,0.766705,0.766887
99,0.176450,0.233138,0.767382,0.810786
100,0.167934,0.222590,0.777852,0.807210
101,0.167569,0.240811,0.759733,0.766611
102,0.148218,0.230504,0.769890,0.815523
103,0.169247,0.231527,0.768917,0.829850
104,0.158534,0.233598,0.766821,0.764466
105,0.233106,0.231089,0.769362,0.799480
