epoch, train_loss, val_loss, dsc  , iou
    0,      0.534,    0.335, 0.668, 0.701
    1,      0.355,    0.307, 0.694, 0.764
    2,      0.325,    0.314, 0.687, 0.692
    3,      0.322,    0.31 , 0.691, 0.665
    4,      0.309,    0.29 , 0.71 , 0.812
    5,      0.27 ,    0.263, 0.737, 0.808
    6,      0.25 ,    0.245, 0.756, 0.805
    7,      0.244,    0.239, 0.762, 0.752
    8,      0.237,    0.227, 0.774, 0.779
    9,      0.236,    0.225, 0.776, 0.793
   10,      0.234,    0.225, 0.776, 0.793
   11,      0.236,    0.223, 0.778, 0.807
   12,      0.239,    0.228, 0.773, 0.803
   13,      0.237,    0.243, 0.758, 0.84
   14,      0.244,    0.249, 0.751, 0.74
   15,      0.276,    0.232, 0.769, 0.793
   16,      0.263,    0.257, 0.744, 0.82
   17,      0.24 ,    0.245, 0.756, 0.775
   18,      0.262,    0.238, 0.762, 0.812
   19,      0.253,    0.247, 0.754, 0.838
   20,      0.246,    0.212, 0.789, 0.814
   21,      0.245,    0.297, 0.703, 0.711
   22,      0.245,    0.231, 0.769, 0.785
   23,      0.23 ,    0.215, 0.785, 0.81
   24,      0.232,    0.234, 0.766, 0.815
   25,      0.231,    0.234, 0.766, 0.839
   26,      0.214,    0.211, 0.789, 0.8
   27,      0.214,    0.205, 0.795, 0.802
   28,      0.205,    0.206, 0.794, 0.81
   29,      0.204,    0.203, 0.798, 0.811
   30,      0.207,    0.203, 0.798, 0.811
   31,      0.204,    0.202, 0.799, 0.804
   32,      0.207,    0.205, 0.795, 0.824
   33,      0.215,    0.203, 0.797, 0.834
   34,      0.217,    0.204, 0.796, 0.815
   35,      0.218,    0.205, 0.795, 0.866
   36,      0.231,    0.207, 0.794, 0.83
   37,      0.216,    0.207, 0.793, 0.808
   38,      0.221,    0.212, 0.789, 0.832
   39,      0.231,    0.224, 0.776, 0.795
   40,      0.233,    0.204, 0.797, 0.822
   41,      0.23 ,    0.199, 0.801, 0.81
   42,      0.222,    0.209, 0.791, 0.761
   43,      0.21 ,    0.194, 0.807, 0.839
   44,      0.211,    0.196, 0.804, 0.828
   45,      0.209,    0.199, 0.801, 0.784
   46,      0.222,    0.193, 0.807, 0.837
   47,      0.197,    0.203, 0.798, 0.841
   48,      0.194,    0.196, 0.804, 0.836
   49,      0.198,    0.195, 0.805, 0.831
   50,      0.201,    0.195, 0.805, 0.831
   51,      0.196,    0.195, 0.805, 0.834
   52,      0.2  ,    0.201, 0.799, 0.833
   53,      0.193,    0.191, 0.809, 0.836
   54,      0.205,    0.197, 0.803, 0.842
   55,      0.198,    0.199, 0.801, 0.835
   56,      0.213,    0.214, 0.786, 0.796
   57,      0.214,    0.209, 0.791, 0.786
   58,      0.209,    0.208, 0.792, 0.829
   59,      0.22 ,    0.224, 0.776, 0.812
   60,      0.224,    0.204, 0.796, 0.845
   61,      0.213,    0.225, 0.775, 0.784
   62,      0.216,    0.21 , 0.79 , 0.893
   63,      0.207,    0.213, 0.788, 0.817
   64,      0.201,    0.196, 0.804, 0.805
   65,      0.201,    0.204, 0.796, 0.816
   66,      0.197,    0.202, 0.798, 0.87
   67,      0.195,    0.198, 0.802, 0.833
   68,      0.195,    0.197, 0.803, 0.843
   69,      0.189,    0.197, 0.803, 0.834
   70,      0.188,    0.197, 0.803, 0.834
   71,      0.182,    0.196, 0.804, 0.836
   72,      0.198,    0.198, 0.802, 0.815
   73,      0.188,    0.203, 0.797, 0.837
