-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.14%      31.660ms         1.26%     287.584ms     254.499us     803.702ms         4.40%     803.702ms     711.241us           0 b           0 b     119.45 Gb     119.45 Gb          1130  
                                            aten::empty         0.18%      40.506ms         0.18%      40.506ms       5.409us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.97 Gb     117.97 Gb          7488  
                                             aten::gelu         0.03%       7.182ms         0.27%      62.347ms     119.899us     124.578ms         0.68%     124.578ms     239.573us           0 b           0 b      80.57 Gb      80.57 Gb           520  
                             aten::convolution_backward         0.18%      42.101ms         3.07%     700.090ms     795.557us        8.451s        46.26%        8.527s       9.689ms           0 b           0 b      84.74 Gb      67.90 Gb           880  
                                              aten::add         0.04%       9.419ms         0.90%     206.122ms     264.259us     119.296ms         0.65%     119.296ms     152.944us           0 b           0 b      51.60 Gb      51.60 Gb           780  
                                    aten::gelu_backward         0.01%       3.309ms         2.55%     583.321ms       2.244ms      91.974ms         0.50%      91.974ms     353.747us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.02%       5.432ms         0.04%       8.280ms      46.002us     612.183ms         3.35%     612.183ms       3.401ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.09%      20.349ms         0.09%      20.349ms       8.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.96 Gb       6.96 Gb          2410  
                                              aten::mul         0.01%       1.169ms         0.01%       1.795ms      35.909us     623.092us         0.00%     623.092us      12.462us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.00%     294.343us         0.00%     430.741us      43.074us      93.117us         0.00%      93.117us       9.312us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     238.425us         0.00%     379.792us      37.979us     127.678us         0.00%     127.678us      12.768us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                              aten::sum         0.09%      19.957ms         0.81%     184.383ms     202.619us      76.303ms         0.42%      76.303ms      83.850us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.01%       1.168ms         0.01%       1.168ms       4.492us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
                                              aten::div         0.00%     905.495us         0.01%       1.356ms      33.894us     105.278us         0.00%     105.278us       2.632us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.00%     827.142us         0.01%       1.396ms      69.802us      48.736us         0.00%      48.736us       2.437us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.00%     352.222us         0.00%     536.839us      53.684us      24.800us         0.00%      24.800us       2.480us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                            aten::copy_         0.14%      32.109ms         8.12%        1.854s     312.635us      74.757ms         0.41%      74.757ms      12.607us           0 b           0 b    -768.00 Mb       5.00 Kb          5930  
                                              aten::sub         0.00%     164.093us         0.00%     243.513us      24.351us      23.424us         0.00%      23.424us       2.342us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                        torch::autograd::AccumulateGrad         0.03%       7.824ms         4.14%     946.091ms     369.567us       0.000us         0.00%       6.886ms       2.690us           0 b           0 b         512 b         512 b          2560  
                                             aten::item         0.02%       5.099ms         0.03%       7.335ms       1.591us       0.000us         0.00%      69.887us       0.015us           0 b           0 b           0 b           0 b          4610  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 22.841s
Self CUDA time total: 18.269s
