-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.01%       3.380ms        18.97%        4.334s      16.052ms       0.000us         0.00%       15.599s      57.775ms           0 b           0 b     -17.53 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         0.65%     147.585ms        18.93%        4.323s      16.012ms       0.000us         0.00%       15.591s      57.746ms           0 b     -16.88 Kb      19.95 Gb     -45.57 Gb           270  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us       10.186s        55.76%       10.186s        1.019s           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.05%      10.711ms         3.17%     723.096ms     821.700us       0.000us         0.00%        8.566s       9.734ms           0 b           0 b     -49.20 Gb    -147.24 Gb           880  
                                   ConvolutionBackward0         0.03%       5.727ms         3.09%     705.817ms     802.065us       0.000us         0.00%        8.527s       9.689ms           0 b           0 b      84.74 Gb           0 b           880  
                             aten::convolution_backward         0.18%      42.101ms         3.07%     700.090ms     795.557us        8.451s        46.26%        8.527s       9.689ms           0 b           0 b      84.74 Gb      67.90 Gb           880  
autograd::engine::evaluate_function: torch::autograd...         0.16%      36.726ms         7.93%        1.811s     707.508us       0.000us         0.00%        6.731s       2.629ms           0 b           0 b      -1.71 Gb    -985.76 Mb          2560  
                                       c10d::allreduce_         0.01%       3.207ms         0.03%       5.914ms     295.693us       0.000us         0.00%        6.718s     335.908ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.01%       2.111ms         0.01%       2.707ms     135.337us        6.718s        36.77%        6.718s     335.908ms           0 b           0 b           0 b           0 b            20  
