-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         0.67%      64.919ms         0.67%      64.919ms       6.750us       0.000us         0.00%       0.000us       0.000us      64.01 Mb      64.01 Mb     189.52 Gb     189.52 Gb          9617  
                                            aten::empty         0.44%      42.196ms         0.44%      42.196ms       5.156us       0.000us         0.00%       0.000us       0.000us      18.79 Kb      18.79 Kb     181.66 Gb     181.66 Gb          8184  
                                aten::cudnn_convolution         0.36%      34.999ms         0.99%      95.582ms      84.586us     372.897ms         5.26%     372.897ms     329.997us           0 b           0 b     119.42 Gb     119.42 Gb          1130  
                                             aten::gelu         0.08%       7.337ms         1.37%     132.121ms     254.080us     149.175ms         2.10%     149.175ms     286.875us           0 b           0 b      80.56 Gb      80.56 Gb           520  
                             aten::convolution_backward         0.48%      46.673ms         5.55%     536.419ms     609.568us        1.925s        27.16%        2.062s       2.343ms           0 b           0 b      84.63 Gb      67.90 Gb           880  
                                              aten::add         0.10%       9.976ms         0.68%      66.203ms      84.984us     119.667ms         1.69%     119.667ms     153.617us           0 b           0 b      51.58 Gb      51.58 Gb           779  
                                    aten::gelu_backward         0.03%       3.294ms         0.28%      27.539ms     105.921us      99.795ms         1.41%      99.795ms     383.827us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.07%       6.307ms         0.11%      10.579ms      58.772us     430.276ms         6.07%     430.276ms       2.390ms           0 b           0 b      19.45 Gb      19.45 Gb           180  
                                              aten::cat         0.01%     828.247us         0.01%       1.289ms      35.799us       1.780ms         0.03%       1.780ms      49.434us           0 b           0 b       1.31 Gb       1.31 Gb            36  
                                            aten::index         0.01%     820.753us         0.01%       1.296ms      40.488us       2.166ms         0.03%       2.166ms      67.688us           0 b           0 b     768.00 Mb     768.00 Mb            32  
                                               aten::mm         0.14%      13.681ms         0.15%      14.784ms     184.802us       4.037ms         0.06%       4.037ms      50.464us           0 b           0 b     512.03 Mb     512.03 Mb            80  
                                              aten::mul         0.02%       1.683ms         0.03%       2.619ms      35.394us       1.237ms         0.02%       1.237ms      16.713us           0 b           0 b     192.02 Mb     192.02 Mb            74  
                                          aten::sigmoid         0.00%     240.857us         0.00%     354.017us      35.402us     134.944us         0.00%     134.944us      13.494us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     173.898us         0.00%     273.608us      27.361us     134.687us         0.00%     134.687us      13.469us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                              aten::div         0.02%       1.777ms         0.02%       2.324ms      44.683us     157.888us         0.00%     157.888us       3.036us           0 b           0 b      16.02 Mb      16.02 Mb            52  
                                              aten::sub         0.00%     227.309us         0.00%     358.457us      25.604us      52.896us         0.00%      52.896us       3.778us           0 b           0 b      16.01 Mb      16.01 Mb            14  
                                              aten::pow         0.00%      46.280us         0.00%      66.600us      33.300us      37.120us         0.00%      37.120us      18.560us           0 b           0 b      16.00 Mb      16.00 Mb             2  
                                              aten::sum         0.19%      18.771ms         1.59%     153.738ms     168.943us     138.012ms         1.95%     138.012ms     151.661us           0 b           0 b     565.00 Kb     565.00 Kb           910  
                                          aten::resize_         0.02%       1.684ms         0.02%       1.684ms       3.239us       0.000us         0.00%       0.000us       0.000us      22.25 Kb      22.25 Kb     387.00 Kb     387.00 Kb           520  
                                              aten::neg         0.01%     916.547us         0.01%       1.432ms      21.059us     172.895us         0.00%     172.895us       2.543us           0 b           0 b      34.00 Kb      34.00 Kb            68  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.671s
Self CUDA time total: 7.089s
