-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       3.249ms        24.99%        2.417s       8.952ms       0.000us         0.00%        4.813s      17.828ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         1.63%     158.045ms        24.93%        2.411s       8.931ms       0.000us         0.00%        4.806s      17.799ms           0 b     -16.88 Kb      20.16 Gb    -106.00 Gb           270  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        4.142s        58.43%        4.142s     414.165ms           0 b           0 b           0 b           0 b            10  
                                           aten::conv3d         0.18%      17.843ms        10.97%        1.061s     337.859us       0.000us         0.00%        2.977s     947.958us           0 b           0 b     314.16 Gb     -20.11 Gb          3140  
autograd::engine::evaluate_function: ConvolutionBack...         0.11%      10.401ms         6.22%     601.722ms     683.775us       0.000us         0.00%        2.101s       2.388ms           0 b           0 b     -49.48 Gb    -147.41 Gb           880  
                                   ConvolutionBackward0         0.05%       4.909ms         5.60%     541.329ms     615.146us       0.000us         0.00%        2.062s       2.343ms           0 b           0 b      84.63 Gb           0 b           880  
                             aten::convolution_backward         0.48%      46.673ms         5.55%     536.419ms     609.568us        1.925s        27.16%        2.062s       2.343ms           0 b           0 b      84.63 Gb      67.90 Gb           880  
                                      aten::convolution         0.10%       9.920ms         4.34%     419.889ms     239.936us       0.000us         0.00%        1.910s       1.091ms           0 b           0 b     166.30 Gb           0 b          1750  
                                     aten::_convolution         0.16%      15.823ms         4.24%     409.968ms     234.268us       0.000us         0.00%        1.910s       1.091ms           0 b           0 b     166.30 Gb           0 b          1750  
                                          ProfilerStep*         0.30%      28.646ms        74.54%        7.208s     720.829ms       0.000us         0.00%        1.569s     156.864ms     134.41 Kb           0 b       8.00 Mb      -5.00 Kb            10  
