epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,2.52,63.08,274.9,32.0,1401.4,10.8,92.1
0,gpu_augment,83.92,2097.89,338.9,104.0,1401.4,10.8,92.1
0,forward,300.90,7522.39,14809.7,52283.2,1401.4,10.8,92.1
0,backward,741.51,18537.86,14815.1,-52253.8,1401.4,10.8,92.1
0,optimizer,10.22,255.43,280.1,42.4,1401.4,10.8,92.1
0,val_forward,1465.79,8794.75,19393.7,112.0,1401.4,10.8,92.1
0,val_metrics,10.97,65.80,303.0,0.0,1401.4,10.8,92.1
1,data_to_gpu,2.79,69.73,274.9,32.0,1059.1,8.5,90.5
1,gpu_augment,68.11,1702.65,338.9,64.0,1059.1,8.5,90.5
1,forward,148.09,3702.25,4553.1,52283.0,1059.1,8.5,90.5
1,backward,471.56,11789.02,8098.6,-52275.0,1059.1,8.5,90.5
1,optimizer,4.07,101.73,280.1,0.0,1059.1,8.5,90.5
1,val_forward,152.32,913.91,5955.9,112.0,1059.1,8.5,90.5
1,val_metrics,2.63,15.78,303.0,0.0,1059.1,8.5,90.5
2,data_to_gpu,2.79,69.82,266.9,32.0,641.6,9.5,36.2
2,gpu_augment,65.53,1638.15,338.9,56.0,641.6,9.5,36.2
2,forward,149.15,3728.63,4545.1,52283.0,641.6,9.5,36.2
2,backward,497.63,12440.69,8090.6,-52275.0,641.6,9.5,36.2
2,optimizer,6.19,154.84,272.1,0.0,641.6,9.5,36.2
2,val_forward,152.26,913.57,5955.9,112.0,641.6,9.5,36.2
2,val_metrics,2.89,17.34,303.0,0.0,641.6,9.5,36.2
3,data_to_gpu,2.69,67.13,274.9,32.0,750.4,8.1,91.5
3,gpu_augment,71.39,1784.82,338.9,72.0,750.4,8.1,91.5
3,forward,148.17,3704.26,4553.1,52283.0,750.4,8.1,91.5
3,backward,472.16,11804.10,8098.6,-52275.0,750.4,8.1,91.5
3,optimizer,4.70,117.57,280.1,0.0,750.4,8.1,91.5
3,val_forward,152.15,912.87,5955.9,112.0,750.4,8.1,91.5
3,val_metrics,2.87,17.24,303.0,0.0,750.4,8.1,91.5
4,data_to_gpu,2.58,64.46,266.9,32.0,788.0,8.0,90.9
4,gpu_augment,61.67,1541.76,338.9,48.0,788.0,8.0,90.9
4,forward,148.12,3702.88,4545.1,52283.0,788.0,8.0,90.9
4,backward,470.67,11766.84,8090.6,-52275.0,788.0,8.0,90.9
