epoch,train_loss,val_loss,dsc,iou
0,0.897272,0.851712,0.168704,0.901562
1,0.686775,0.351504,0.671623,0.669536
2,0.315807,0.277359,0.718554,0.685565
3,0.278620,0.257339,0.732728,0.679679
4,0.244342,0.262629,0.733585,0.729292
5,0.250014,0.250346,0.739180,0.694594
6,0.257212,0.244891,0.749303,0.740076
7,0.213937,0.242802,0.750626,0.730453
8,0.236072,0.251222,0.733043,0.643090
9,0.232148,0.240612,0.745330,0.678507
10,0.214594,0.230190,0.761346,0.724623
11,0.197490,0.234793,0.753948,0.697947
12,0.206272,0.238944,0.752867,0.729666
13,0.249880,0.247653,0.737532,0.661929
14,0.219901,0.233240,0.757911,0.719440
15,0.224134,0.233740,0.756840,0.731161
16,0.212514,0.240807,0.744188,0.663705
17,0.219771,0.254017,0.737874,0.720256
18,0.214671,0.237502,0.754386,0.718470
19,0.210601,0.233121,0.751957,0.670140
20,0.218135,0.222095,0.768206,0.728400
21,0.228975,0.226540,0.764443,0.731130
22,0.220469,0.232670,0.755840,0.702722
23,0.195898,0.225773,0.758237,0.682584
24,0.207902,0.227452,0.761164,0.702671
25,0.175454,0.221155,0.769764,0.731064
26,0.176400,0.220748,0.765374,0.712674
27,0.193314,0.217861,0.769970,0.711605
28,0.228134,0.216075,0.778183,0.795776
29,0.228071,0.219554,0.765438,0.699034
30,0.211069,0.210541,0.778454,0.720970
31,0.188693,0.222801,0.762656,0.688426
32,0.200084,0.205487,0.788378,0.768510
33,0.189215,0.179782,0.816602,0.797497
34,0.167263,0.176955,0.819551,0.798863
35,0.157608,0.164174,0.835746,0.815219
36,0.160187,0.182872,0.812965,0.823303
37,0.163988,0.163718,0.833714,0.818830
38,0.169678,0.173026,0.821476,0.818844
39,0.148496,0.160686,0.837168,0.822187
40,0.162113,0.168690,0.827571,0.833139
41,0.170509,0.153089,0.848679,0.872066
42,0.141120,0.155063,0.845300,0.854625
43,0.146595,0.190067,0.806481,0.789843
44,0.162516,0.174005,0.822253,0.800527
45,0.143501,0.154574,0.845677,0.845010
46,0.128935,0.159225,0.839481,0.866848
47,0.147054,0.158919,0.840180,0.845878
48,0.139823,0.169415,0.831451,0.866234
49,0.134104,0.155024,0.846154,0.878251
50,0.125853,0.145837,0.852217,0.839901
51,0.135616,0.142674,0.857679,0.860144
52,0.149763,0.159937,0.839546,0.840721
53,0.140568,0.153009,0.849861,0.874028
54,0.152615,0.147013,0.851629,0.859646
55,0.136980,0.155117,0.848896,0.853758
56,0.135903,0.142116,0.860389,0.867280
57,0.121692,0.147016,0.856494,0.877331
58,0.128057,0.156375,0.847459,0.862774
59,0.124090,0.148489,0.852103,0.868129
60,0.125765,0.154133,0.846860,0.896347
61,0.117876,0.142963,0.856801,0.854562
62,0.119113,0.139304,0.859112,0.869064
63,0.113567,0.139327,0.860816,0.865353
64,0.133869,0.150839,0.850296,0.864368
65,0.118118,0.142422,0.859169,0.879735
66,0.116371,0.137381,0.861319,0.830306
67,0.118342,0.138406,0.863969,0.874515
68,0.118017,0.131664,0.865857,0.841964
69,0.116957,0.142559,0.859637,0.881518
70,0.117384,0.148231,0.852333,0.854697
71,0.111503,0.138900,0.863098,0.886064
72,0.107508,0.138798,0.859831,0.868341
73,0.111764,0.148428,0.852256,0.901046
74,0.116298,0.149819,0.850665,0.857836
75,0.115060,0.145892,0.854025,0.866635
76,0.104636,0.139173,0.861185,0.884398
77,0.106086,0.137870,0.861872,0.845444
78,0.115464,0.148316,0.853669,0.853432
79,0.109103,0.134927,0.865799,0.872443
80,0.116128,0.136209,0.864146,0.863706
81,0.109651,0.132034,0.863913,0.840490
82,0.116411,0.139707,0.859691,0.883290
83,0.104017,0.143451,0.858068,0.896525
84,0.113267,0.140904,0.859777,0.846185
85,0.122389,0.146022,0.853027,0.857369
86,0.111659,0.135582,0.865711,0.866121
87,0.108799,0.137436,0.861869,0.861425
88,0.102615,0.133391,0.865802,0.871843
