-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         0.66%      63.967ms         0.66%      63.967ms       6.651us       0.000us         0.00%       0.000us       0.000us      48.01 Mb      48.01 Mb     189.55 Gb     189.55 Gb          9618  
                                            aten::empty         0.45%      43.585ms         0.45%      43.585ms       5.315us       0.000us         0.00%       0.000us       0.000us      18.79 Kb      18.79 Kb     181.79 Gb     181.79 Gb          8200  
                                aten::cudnn_convolution         0.37%      35.538ms         1.37%     132.929ms     117.636us     373.094ms         5.43%     373.094ms     330.171us           0 b           0 b     119.42 Gb     119.42 Gb          1130  
                                             aten::gelu         0.08%       7.342ms         0.77%      74.346ms     142.973us     149.286ms         2.17%     149.286ms     287.089us           0 b           0 b      80.56 Gb      80.56 Gb           520  
                             aten::convolution_backward         0.50%      48.099ms         5.28%     511.356ms     581.086us        1.914s        27.87%        2.052s       2.332ms           0 b           0 b      84.63 Gb      67.90 Gb           880  
                                              aten::add         0.11%      10.292ms         2.12%     205.176ms     261.371us     119.716ms         1.74%     119.716ms     152.504us           0 b           0 b      51.61 Gb      51.61 Gb           785  
                                    aten::gelu_backward         0.03%       3.258ms         0.39%      37.489ms     144.190us      99.849ms         1.45%      99.849ms     384.035us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.07%       6.311ms         0.11%      10.708ms      59.490us     430.515ms         6.27%     430.515ms       2.392ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                              aten::cat         0.01%     796.311us         0.01%       1.195ms      33.205us       1.803ms         0.03%       1.803ms      50.070us           0 b           0 b       1.31 Gb       1.31 Gb            36  
                                       cudaLaunchKernel        16.38%        1.585s        16.38%        1.585s      78.264us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     773.03 Mb     773.03 Mb         20255  
                                            aten::index         0.01%     810.664us         0.01%       1.306ms      40.811us       2.170ms         0.03%       2.170ms      67.800us           0 b           0 b     768.00 Mb     768.00 Mb            32  
                                               aten::mm         0.14%      13.678ms         0.15%      14.784ms     184.798us       4.045ms         0.06%       4.045ms      50.569us           0 b           0 b     512.03 Mb     512.03 Mb            80  
                                            aten::fill_         0.02%       2.251ms         0.05%       5.110ms      14.600us      14.456ms         0.21%      14.456ms      41.302us           0 b           0 b       1.01 Gb     257.68 Mb           350  
autograd::engine::evaluate_function: torch::autograd...         0.23%      22.543ms         2.79%     269.606ms     105.315us       0.000us         0.00%        1.199s     468.434us           0 b           0 b       1.26 Gb     257.68 Mb          2560  
                                              aten::mul         0.02%       1.745ms         0.03%       2.748ms      35.224us       1.312ms         0.02%       1.312ms      16.822us           0 b           0 b     224.02 Mb     224.02 Mb            78  
                                          aten::sigmoid         0.00%     239.460us         0.00%     359.250us      35.925us     136.286us         0.00%     136.286us      13.629us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     147.410us         0.00%     246.528us      24.653us     134.429us         0.00%     134.429us      13.443us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                              aten::div         0.01%       1.145ms         0.02%       1.752ms      32.441us     174.782us         0.00%     174.782us       3.237us           0 b           0 b      32.02 Mb      32.02 Mb            54  
                                              aten::sub         0.00%     286.160us         0.00%     453.959us      25.220us      83.295us         0.00%      83.295us       4.627us           0 b           0 b      32.01 Mb      32.01 Mb            18  
                                              aten::pow         0.00%      84.440us         0.00%     133.830us      33.457us      74.782us         0.00%      74.782us      18.696us           0 b           0 b      32.00 Mb      32.00 Mb             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.676s
Self CUDA time total: 6.868s
