-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       3.263ms        24.98%        2.417s       8.951ms       0.000us         0.00%        4.698s      17.399ms           0 b           0 b     -17.32 Gb     -37.48 Gb           270  
                             CheckpointFunctionBackward         1.63%     158.019ms        24.83%        2.403s       8.899ms       0.000us         0.00%        4.690s      17.371ms           0 b     -16.88 Kb      20.16 Gb    -105.99 Gb           270  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        4.136s        60.22%        4.136s     413.616ms           0 b           0 b           0 b           0 b            10  
                                           aten::conv3d         0.19%      18.129ms         9.08%     878.488ms     279.773us       0.000us         0.00%        2.978s     948.396us           0 b           0 b     314.12 Gb     -20.14 Gb          3140  
autograd::engine::evaluate_function: ConvolutionBack...         0.11%      10.639ms         5.78%     559.114ms     635.357us       0.000us         0.00%        2.091s       2.376ms           0 b           0 b     -49.48 Gb    -147.41 Gb           880  
                                   ConvolutionBackward0         0.06%       5.381ms         5.34%     516.737ms     587.201us       0.000us         0.00%        2.052s       2.332ms           0 b           0 b      84.63 Gb           0 b           880  
                             aten::convolution_backward         0.50%      48.099ms         5.28%     511.356ms     581.086us        1.914s        27.87%        2.052s       2.332ms           0 b           0 b      84.63 Gb      67.90 Gb           880  
                                      aten::convolution         0.11%      10.483ms         2.64%     255.581ms     146.046us       0.000us         0.00%        1.911s       1.092ms           0 b           0 b     166.29 Gb           0 b          1750  
                                     aten::_convolution         0.18%      17.510ms         2.53%     245.098ms     140.056us       0.000us         0.00%        1.911s       1.092ms           0 b           0 b     166.29 Gb           0 b          1750  
                                          ProfilerStep*         0.29%      28.116ms        74.56%        7.215s     721.458ms       0.000us         0.00%        1.559s     155.899ms     134.16 Kb           0 b      -8.00 Mb      -5.00 Kb            10  
