epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,2.11,52.87,266.9,32.0,998.7,12.0,93.8
0,gpu_augment,101.93,2548.28,338.9,96.0,998.7,12.0,93.8
0,forward,338.30,8457.44,14857.7,52282.6,998.7,12.0,93.8
0,backward,793.49,19837.28,14863.1,-52253.8,998.7,12.0,93.8
0,optimizer,9.49,237.36,272.1,42.4,998.7,12.0,93.8
0,val_forward,1509.52,9057.10,19393.1,112.0,998.7,12.0,93.8
0,val_metrics,11.19,67.12,302.4,0.0,998.7,12.0,93.8
1,data_to_gpu,2.14,53.43,274.4,32.0,771.1,8.6,91.3
1,gpu_augment,87.46,2186.45,338.4,64.0,771.1,8.6,91.3
1,forward,148.19,3704.74,4553.1,52284.7,771.1,8.6,91.3
1,backward,470.36,11758.94,8098.1,-52276.7,771.1,8.6,91.3
1,optimizer,4.18,104.59,280.1,0.0,771.1,8.6,91.3
1,val_forward,152.56,915.38,5955.4,112.0,771.1,8.6,91.3
1,val_metrics,2.66,15.98,303.0,0.0,771.1,8.6,91.3
2,data_to_gpu,2.18,54.52,266.4,32.0,589.5,11.2,35.9
2,gpu_augment,100.87,2521.68,338.9,56.0,589.5,11.2,35.9
2,forward,149.30,3732.48,4544.5,52283.6,589.5,11.2,35.9
2,backward,456.53,11413.14,8090.1,-52275.0,589.5,11.2,35.9
2,optimizer,6.24,156.12,271.6,0.0,589.5,11.2,35.9
2,val_forward,152.47,914.83,5955.9,112.0,589.5,11.2,35.9
2,val_metrics,2.88,17.28,303.0,0.0,589.5,11.2,35.9
3,data_to_gpu,2.04,50.94,274.4,32.0,647.3,7.6,91.9
3,gpu_augment,75.63,1890.69,330.9,56.0,647.3,7.6,91.9
3,forward,148.14,3703.53,4552.5,52286.3,647.3,7.6,91.9
3,backward,487.97,12199.26,8098.1,-52278.9,647.3,7.6,91.9
3,optimizer,4.68,117.06,279.6,0.0,647.3,7.6,91.9
3,val_forward,152.27,913.63,5955.4,112.0,647.3,7.6,91.9
3,val_metrics,2.85,17.11,302.4,0.0,647.3,7.6,91.9
4,data_to_gpu,2.17,54.24,266.9,32.0,607.6,7.5,92.3
4,gpu_augment,92.67,2316.83,338.4,56.0,607.6,7.5,92.3
4,forward,148.16,3703.94,4544.5,52283.0,607.6,7.5,92.3
4,backward,469.63,11740.84,8090.1,-52275.0,607.6,7.5,92.3
4,optimizer,4.65,116.33,272.1,0.0,607.6,7.5,92.3
4,val_forward,152.50,915.00,5955.4,112.0,607.6,7.5,92.3
4,val_metrics,2.86,17.16,302.4,0.0,607.6,7.5,92.3
5,data_to_gpu,2.03,50.72,266.9,32.0,608.7,5.7,92.1
5,gpu_augment,103.50,2587.61,338.9,56.0,608.7,5.7,92.1
5,forward,148.24,3705.91,4545.1,52283.0,608.7,5.7,92.1
5,backward,458.64,11465.95,8090.1,-52275.0,608.7,5.7,92.1
5,optimizer,5.30,132.43,272.1,0.0,608.7,5.7,92.1
5,val_forward,152.39,914.35,5955.4,112.0,608.7,5.7,92.1
5,val_metrics,3.15,18.91,302.4,0.0,608.7,5.7,92.1
6,data_to_gpu,2.03,50.66,274.9,32.0,578.6,6.7,92.4
6,gpu_augment,94.07,2351.84,338.9,48.0,578.6,6.7,92.4
6,forward,148.26,3706.60,4553.1,52283.0,578.6,6.7,92.4
6,backward,465.84,11646.02,8098.1,-52275.0,578.6,6.7,92.4
6,optimizer,5.31,132.64,280.1,0.0,578.6,6.7,92.4
6,val_forward,152.57,915.43,5955.4,112.0,578.6,6.7,92.4
6,val_metrics,3.00,18.00,302.4,0.0,578.6,6.7,92.4
7,data_to_gpu,2.07,51.63,266.4,32.0,603.6,6.5,92.5
7,gpu_augment,69.41,1735.34,338.4,80.0,603.6,6.5,92.5
7,forward,148.28,3706.98,4553.1,52283.7,603.6,6.5,92.5
7,backward,483.21,12080.25,8098.1,-52275.7,603.6,6.5,92.5
7,optimizer,5.34,133.49,279.6,0.0,603.6,6.5,92.5
7,val_forward,152.34,914.05,5955.4,112.0,603.6,6.5,92.5
7,val_metrics,2.89,17.32,302.4,0.0,603.6,6.5,92.5
8,data_to_gpu,2.04,51.06,266.4,32.0,576.4,6.4,92.5
8,gpu_augment,76.08,1902.12,338.9,48.0,576.4,6.4,92.5
8,forward,148.21,3705.33,4545.1,52284.3,576.4,6.4,92.5
8,backward,467.50,11687.60,8090.6,-52275.7,576.4,6.4,92.5
8,optimizer,5.25,131.19,271.6,0.0,576.4,6.4,92.5
8,val_forward,152.59,915.53,5955.9,112.0,576.4,6.4,92.5
8,val_metrics,2.92,17.53,303.0,0.0,576.4,6.4,92.5
9,data_to_gpu,2.09,52.34,274.4,32.0,575.1,9.1,92.6
9,gpu_augment,79.34,1983.39,330.4,48.0,575.1,9.1,92.6
