epoch,train_loss,val_loss,dsc,iou
0,0.896038,0.852606,0.168309,0.897562
1,0.692699,0.348653,0.675876,0.675813
2,0.308490,0.263099,0.732360,0.695700
3,0.273540,0.254780,0.740512,0.738799
4,0.237817,0.255109,0.735344,0.657834
5,0.254312,0.247673,0.744058,0.688013
6,0.250078,0.238010,0.756092,0.737852
7,0.206654,0.240683,0.748329,0.701715
8,0.251270,0.279527,0.702716,0.603370
9,0.243946,0.245681,0.739451,0.673129
10,0.226466,0.232755,0.756263,0.721961
11,0.207555,0.236550,0.749065,0.681966
12,0.219924,0.236566,0.754501,0.722728
13,0.248081,0.248164,0.738768,0.671590
14,0.215903,0.236741,0.754913,0.733151
15,0.214874,0.238191,0.747793,0.688666
16,0.214483,0.237981,0.747994,0.671326
17,0.225344,0.242015,0.747470,0.711893
18,0.208397,0.232350,0.755923,0.710884
19,0.214165,0.232864,0.753705,0.676182
20,0.216551,0.231489,0.757452,0.712376
21,0.216045,0.229577,0.762442,0.742435
22,0.224643,0.238033,0.751156,0.690614
23,0.200112,0.228103,0.760163,0.708372
24,0.204297,0.230555,0.759536,0.712795
25,0.189639,0.232959,0.759135,0.745031
26,0.190881,0.239788,0.743487,0.686487
27,0.211330,0.223310,0.764751,0.709394
28,0.227305,0.223555,0.765009,0.747427
29,0.190595,0.237096,0.755418,0.773717
30,0.220004,0.222848,0.763942,0.703930
31,0.183303,0.210367,0.778371,0.742007
32,0.206374,0.230831,0.758464,0.717666
33,0.205366,0.217930,0.768879,0.708391
34,0.195323,0.212744,0.774044,0.715548
35,0.193372,0.201611,0.787235,0.719649
36,0.161197,0.195312,0.797254,0.775614
37,0.184798,0.188290,0.809194,0.820543
38,0.171891,0.181464,0.812569,0.787975
39,0.157989,0.171636,0.826156,0.834521
40,0.172345,0.210674,0.777335,0.715547
41,0.181001,0.167485,0.828291,0.826664
42,0.146876,0.159387,0.836166,0.823066
43,0.159936,0.173517,0.825284,0.838071
44,0.152505,0.174780,0.819001,0.808688
45,0.155938,0.183865,0.807044,0.737668
46,0.144009,0.159121,0.838931,0.835910
47,0.155138,0.154067,0.841042,0.855947
48,0.144246,0.164387,0.839415,0.882342
49,0.143513,0.164371,0.838088,0.883407
50,0.130170,0.156889,0.843808,0.859951
51,0.125653,0.159139,0.844184,0.866644
52,0.151884,0.159655,0.840764,0.888942
53,0.141599,0.162350,0.838498,0.865970
54,0.133338,0.155531,0.839296,0.856243
55,0.145952,0.169921,0.830634,0.828566
56,0.149289,0.155108,0.841775,0.810859
57,0.134160,0.151078,0.852189,0.883769
58,0.125915,0.143757,0.855422,0.860084
59,0.126447,0.150759,0.851340,0.901952
60,0.110862,0.139259,0.858960,0.870869
61,0.121103,0.145331,0.855200,0.853580
62,0.113900,0.146005,0.853099,0.879435
63,0.110692,0.145155,0.855126,0.866705
64,0.129824,0.145965,0.855652,0.869007
65,0.114399,0.132673,0.866086,0.869731
66,0.120433,0.144767,0.857928,0.874468
67,0.123036,0.141460,0.859810,0.851085
68,0.113255,0.137887,0.860450,0.832191
69,0.119235,0.146169,0.855294,0.855306
70,0.115034,0.146039,0.854996,0.863292
71,0.119001,0.147767,0.852352,0.841641
72,0.111905,0.145036,0.856830,0.883154
73,0.105061,0.132122,0.864845,0.880774
74,0.118267,0.134146,0.864804,0.857789
75,0.099810,0.140865,0.858306,0.868083
76,0.104237,0.140330,0.858517,0.845108
77,0.107940,0.135066,0.863103,0.847222
78,0.112408,0.141427,0.858811,0.841224
79,0.112189,0.142415,0.857647,0.863480
80,0.119294,0.137602,0.863244,0.859581
81,0.103018,0.135761,0.862334,0.864376
82,0.108328,0.146700,0.851269,0.878371
83,0.111022,0.144278,0.856124,0.861892
84,0.096506,0.134461,0.864538,0.869701
85,0.102867,0.139874,0.857953,0.845857
