-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.47%      43.800ms         0.47%      43.800ms       4.904us       0.000us         0.00%       0.000us       0.000us      15.00 Kb      15.00 Kb     169.99 Gb     169.99 Gb          8932  
                                    aten::empty_strided         0.57%      53.064ms         0.57%      53.064ms       6.843us       0.000us         0.00%       0.000us       0.000us      48.01 Mb      48.01 Mb     152.54 Gb     152.54 Gb          7755  
                                aten::cudnn_convolution         0.37%      34.330ms         1.24%     114.372ms     106.393us     375.231ms         6.21%     375.231ms     349.052us           0 b           0 b     132.11 Gb     132.11 Gb          1075  
                                             aten::gelu         0.08%       7.373ms         0.67%      62.213ms     125.937us     156.426ms         2.59%     156.426ms     316.652us           0 b           0 b      88.62 Gb      88.62 Gb           494  
                             aten::convolution_backward         0.41%      37.743ms         4.38%     404.828ms     575.040us        1.531s        25.34%        1.640s       2.330ms           0 b           0 b      67.71 Gb      54.33 Gb           704  
                                              aten::add         0.10%       9.286ms         1.87%     172.488ms     231.839us     125.056ms         2.07%     125.056ms     168.087us           0 b           0 b      53.81 Gb      53.81 Gb           744  
                                    aten::gelu_backward         0.03%       2.607ms         0.37%      34.172ms     164.287us      79.764ms         1.32%      79.764ms     383.482us           0 b           0 b      32.22 Gb      32.22 Gb           208  
                      aten::cudnn_convolution_transpose         0.07%       6.335ms         0.12%      10.639ms      62.218us     412.402ms         6.83%     412.402ms       2.412ms           0 b           0 b      21.38 Gb      21.38 Gb           171  
                                              aten::cat         0.01%     773.451us         0.01%       1.160ms      31.352us       1.697ms         0.03%       1.697ms      45.872us           0 b           0 b       1.09 Gb       1.09 Gb            37  
                                            aten::fill_         0.02%       2.014ms         0.05%       4.420ms      14.350us      14.367ms         0.24%      14.367ms      46.646us           0 b           0 b     773.03 Mb     773.03 Mb           308  
                                            aten::index         0.01%     618.251us         0.01%     982.485us      40.937us       1.622ms         0.03%       1.622ms      67.586us           0 b           0 b     576.00 Mb     576.00 Mb            24  
autograd::engine::evaluate_function: torch::autograd...         0.21%      19.126ms         2.38%     219.525ms     107.190us       0.000us         0.00%        1.018s     497.056us           0 b           0 b       1.76 Gb     515.36 Mb          2048  
                                            aten::zero_         0.00%     368.985us         0.02%       1.478ms       6.600us       0.000us         0.00%     160.767us       0.718us           0 b           0 b       1.26 Gb     515.36 Mb           224  
                                              aten::mul         0.03%       2.337ms         0.04%       3.541ms      34.716us       1.721ms         0.03%       1.721ms      16.876us           0 b           0 b     400.03 Mb     400.03 Mb           102  
                                               aten::mm         0.11%      10.402ms         0.12%      11.236ms     187.268us       3.035ms         0.05%       3.035ms      50.584us           0 b           0 b     384.02 Mb     384.02 Mb            60  
                                          aten::sigmoid         0.00%     298.378us         0.01%     525.489us      37.535us     210.207us         0.00%     210.207us      15.015us           0 b           0 b     160.00 Mb     160.00 Mb            14  
                                 aten::sigmoid_backward         0.00%     141.878us         0.00%     226.219us      28.277us     106.112us         0.00%     106.112us      13.264us           0 b           0 b      64.00 Mb      64.00 Mb             8  
                                              aten::div         0.01%       1.139ms         0.02%       1.961ms      35.649us     190.143us         0.00%     190.143us       3.457us           0 b           0 b      48.02 Mb      48.02 Mb            55  
                                              aten::sub         0.00%     421.004us         0.01%     667.161us      25.660us     122.687us         0.00%     122.687us       4.719us           0 b           0 b      48.01 Mb      48.01 Mb            26  
                                              aten::pow         0.00%     161.870us         0.00%     246.269us      41.045us     111.840us         0.00%     111.840us      18.640us           0 b           0 b      48.00 Mb      48.00 Mb             6  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.232s
Self CUDA time total: 6.041s
