-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       2.965ms        20.95%        1.934s       8.953ms       0.000us         0.00%        3.781s      17.504ms           0 b           0 b     -13.85 Gb     -29.98 Gb           216  
                             CheckpointFunctionBackward         1.43%     131.997ms        20.79%        1.920s       8.888ms       0.000us         0.00%        3.775s      17.476ms           0 b     -13.50 Kb      16.13 Gb     -84.80 Gb           216  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        3.310s        54.78%        3.310s     413.695ms           0 b           0 b           0 b           0 b             8  
                                           aten::conv3d         0.17%      15.625ms         7.71%     711.894ms     258.965us       0.000us         0.00%        2.610s     949.324us           0 b           0 b     296.11 Gb     -16.11 Gb          2749  
                                      aten::convolution         0.10%       9.243ms         2.40%     221.284ms     132.983us       0.000us         0.00%        1.837s       1.104ms           0 b           0 b     183.67 Gb           0 b          1664  
                                     aten::_convolution         0.18%      16.452ms         2.30%     212.040ms     127.428us       0.000us         0.00%        1.837s       1.104ms           0 b           0 b     183.67 Gb           0 b          1664  
                                          ProfilerStep*         2.01%     185.801ms        78.65%        7.261s     806.774ms       0.000us         0.00%        1.742s     193.517ms           0 b    -134.42 Kb    -104.00 Mb    -408.02 Mb             9  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%       8.490ms         4.89%     451.497ms     641.330us       0.000us         0.00%        1.672s       2.374ms           0 b           0 b     -39.58 Gb    -117.93 Gb           704  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.658s        27.45%        1.658s     150.736ms           0 b           0 b           0 b           0 b            11  
