epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,2.27,27.20,274.9,32.0,1271.9,4.4,91.7
0,gpu_augment,70.99,851.82,338.9,104.0,1271.9,4.4,91.7
0,forward,510.69,6128.26,14849.7,25099.2,1271.9,4.4,91.7
0,backward,1113.17,13358.07,14855.1,-25070.8,1271.9,4.4,91.7
0,optimizer,13.98,167.74,280.1,42.4,1271.9,4.4,91.7
0,val_forward,2719.63,8158.88,19392.7,64.0,1271.9,4.4,91.7
0,val_metrics,20.49,61.48,302.0,0.0,1271.9,4.4,91.7
1,data_to_gpu,2.50,30.01,266.9,32.0,940.7,4.1,81.3
1,gpu_augment,42.86,514.35,338.9,64.0,940.7,4.1,81.3
1,forward,148.07,1776.82,4545.1,25100.0,940.7,4.1,81.3
1,backward,478.00,5735.97,8089.6,-25091.0,940.7,4.1,81.3
1,optimizer,4.87,58.40,272.1,0.0,940.7,4.1,81.3
1,val_forward,152.12,456.37,5955.9,64.0,940.7,4.1,81.3
1,val_metrics,2.64,7.92,303.0,0.0,940.7,4.1,81.3
2,data_to_gpu,2.83,33.95,266.9,32.0,655.1,7.5,23.0
2,gpu_augment,76.45,917.35,338.9,64.0,655.1,7.5,23.0
2,forward,150.10,1801.21,4545.1,25100.0,655.1,7.5,23.0
2,backward,472.04,5664.50,8089.6,-25092.0,655.1,7.5,23.0
2,optimizer,7.60,91.25,272.1,0.0,655.1,7.5,23.0
2,val_forward,154.11,462.33,5955.9,64.0,655.1,7.5,23.0
2,val_metrics,3.87,11.60,303.0,0.0,655.1,7.5,23.0
3,data_to_gpu,2.59,31.13,266.9,32.0,688.5,4.2,84.5
3,gpu_augment,106.50,1277.98,330.9,72.0,688.5,4.2,84.5
3,forward,148.11,1777.35,4545.1,25100.0,688.5,4.2,84.5
3,backward,432.77,5193.22,8089.6,-25092.0,688.5,4.2,84.5
3,optimizer,5.05,60.61,272.1,0.0,688.5,4.2,84.5
3,val_forward,152.20,456.60,5955.9,64.0,688.5,4.2,84.5
3,val_metrics,2.95,8.85,303.0,0.0,688.5,4.2,84.5
4,data_to_gpu,2.76,33.10,266.9,32.0,661.1,3.6,84.7
4,gpu_augment,61.91,742.87,338.9,64.0,661.1,3.6,84.7
4,forward,148.06,1776.66,4545.1,25100.0,661.1,3.6,84.7
4,backward,481.65,5779.81,8089.6,-25093.0,661.1,3.6,84.7
4,optimizer,4.97,59.68,272.1,0.0,661.1,3.6,84.7
4,val_forward,152.10,456.31,5954.9,64.0,661.1,3.6,84.7
4,val_metrics,2.87,8.61,302.0,0.0,661.1,3.6,84.7
5,data_to_gpu,2.59,31.08,274.9,32.0,657.7,3.7,85.4
5,gpu_augment,88.03,1056.38,338.9,72.0,657.7,3.7,85.4
5,forward,148.12,1777.40,4553.1,25100.0,657.7,3.7,85.4
5,backward,449.37,5392.49,8097.6,-25092.0,657.7,3.7,85.4
5,optimizer,5.13,61.62,280.1,0.0,657.7,3.7,85.4
5,val_forward,152.36,457.08,5954.9,64.0,657.7,3.7,85.4
5,val_metrics,2.94,8.83,302.0,0.0,657.7,3.7,85.4
6,data_to_gpu,2.61,31.36,266.9,32.0,702.5,3.6,84.9
6,gpu_augment,69.99,839.92,330.9,64.0,702.5,3.6,84.9
6,forward,148.07,1776.89,4545.1,25100.0,702.5,3.6,84.9
6,backward,492.90,5914.78,8089.6,-25092.0,702.5,3.6,84.9
6,optimizer,5.44,65.26,272.1,0.0,702.5,3.6,84.9
