epoch,train_loss,val_loss,dsc,iou
0,0.936810,0.923938,0.088137,0.858444
1,0.899144,0.837424,0.175287,0.910762
2,0.687998,0.393648,0.654885,0.664737
3,0.393620,0.318147,0.694876,0.690569
4,0.316676,0.292671,0.718205,0.719236
5,0.294509,0.298263,0.710007,0.665599
6,0.249342,0.263392,0.745894,0.743199
7,0.256313,0.270884,0.737819,0.692026
8,0.278052,0.264976,0.744225,0.731049
9,0.262746,0.264431,0.746115,0.776060
10,0.236114,0.253348,0.756807,0.781364
11,0.225041,0.239503,0.770356,0.786433
12,0.224512,0.224951,0.784521,0.788662
13,0.217563,0.233836,0.773234,0.777699
14,0.217930,0.245892,0.763776,0.790264
15,0.222218,0.250685,0.759764,0.766307
16,0.217521,0.217891,0.789828,0.767063
17,0.205842,0.218400,0.788974,0.782820
18,0.192972,0.236900,0.774643,0.809204
19,0.246564,0.254574,0.749439,0.707206
20,0.268173,0.240558,0.768563,0.739234
21,0.191470,0.232832,0.774437,0.750194
22,0.178392,0.213569,0.792368,0.796855
23,0.204990,0.217779,0.787501,0.768758
24,0.214988,0.228170,0.778385,0.770876
25,0.189057,0.244970,0.758689,0.704710
26,0.195034,0.236846,0.770945,0.742460
27,0.194940,0.218656,0.788829,0.790115
28,0.181424,0.242932,0.766296,0.765299
29,0.215430,0.217810,0.787526,0.797149
30,0.195178,0.235038,0.770767,0.763121
31,0.170559,0.233263,0.773079,0.777045
32,0.193720,0.235832,0.766614,0.751558
33,0.207927,0.220434,0.786141,0.789518
34,0.213106,0.216139,0.791033,0.812726
35,0.185477,0.219390,0.788725,0.842802
36,0.218445,0.226619,0.779392,0.793699
37,0.185573,0.217115,0.788645,0.799468
38,0.180672,0.223899,0.782893,0.824994
39,0.190360,0.219496,0.784577,0.783175
40,0.211342,0.306685,0.698222,0.707987
41,0.235426,0.230783,0.775777,0.775585
42,0.210055,0.217685,0.787852,0.770755
43,0.165829,0.216262,0.790379,0.787462
44,0.183490,0.227108,0.778146,0.784076
45,0.185366,0.226506,0.778010,0.755434
46,0.148402,0.217421,0.788052,0.847627
47,0.192209,0.215524,0.790490,0.845528
48,0.198456,0.215390,0.791167,0.798697
49,0.224416,0.226127,0.777012,0.778058
50,0.193237,0.214674,0.790165,0.803003
51,0.181200,0.217270,0.788363,0.814040
52,0.175010,0.232319,0.775503,0.762528
53,0.147491,0.233839,0.770850,0.787466
54,0.194461,0.223496,0.783508,0.782955
55,0.180122,0.224025,0.780344,0.802528
56,0.186936,0.214285,0.793974,0.819172
57,0.170623,0.219579,0.788464,0.846760
58,0.186807,0.223092,0.784417,0.801425
59,0.194516,0.225427,0.779067,0.792189
60,0.162738,0.217838,0.787743,0.810927
61,0.167057,0.217042,0.788910,0.810027
62,0.162735,0.224121,0.782602,0.773281
63,0.156357,0.218516,0.789333,0.810094
64,0.188053,0.213435,0.791198,0.811524
65,0.170222,0.234202,0.772276,0.794091
66,0.146687,0.239191,0.763156,0.746651
67,0.178051,0.221422,0.782221,0.765361
68,0.174649,0.227989,0.775840,0.812370
69,0.209896,0.210567,0.796734,0.822504
70,0.158829,0.216331,0.792535,0.830764
71,0.139159,0.222119,0.783989,0.795376
72,0.150792,0.219171,0.786658,0.813505
73,0.145276,0.225541,0.779173,0.785022
74,0.160910,0.232313,0.775510,0.794131
75,0.141135,0.218786,0.787605,0.795839
76,0.144339,0.232253,0.775244,0.785328
77,0.168796,0.215320,0.790461,0.798545
78,0.169036,0.217919,0.787807,0.820165
79,0.169533,0.219323,0.786222,0.795768
80,0.162209,0.234468,0.769836,0.767124
81,0.141980,0.222908,0.781397,0.772846
82,0.163500,0.235486,0.770730,0.763389
83,0.159988,0.217338,0.788510,0.792025
84,0.135578,0.220754,0.785543,0.830801
85,0.156417,0.236109,0.771309,0.813718
86,0.145816,0.215974,0.790614,0.796796
87,0.171059,0.224667,0.783229,0.812478
88,0.159137,0.233490,0.773296,0.753165
89,0.141290,0.215570,0.792713,0.806965
90,0.160378,0.212669,0.793730,0.793871
91,0.153712,0.223221,0.784259,0.785058
92,0.138508,0.220905,0.784140,0.788421
93,0.148779,0.222100,0.782741,0.808933
94,0.140589,0.217466,0.788426,0.806124
95,0.121904,0.216255,0.787575,0.806685
96,0.131237,0.209562,0.795511,0.816477
97,0.141286,0.217278,0.788035,0.791917
98,0.150045,0.215834,0.788894,0.798534
99,0.130762,0.219046,0.784444,0.790681
100,0.146553,0.225428,0.779818,0.781644
101,0.153682,0.218034,0.783876,0.804937
102,0.133835,0.213101,0.792310,0.807686
103,0.124774,0.213849,0.791454,0.829590
104,0.131539,0.214967,0.788998,0.778565
105,0.143665,0.227284,0.777467,0.785655
106,0.134418,0.228776,0.772847,0.772103
107,0.142507,0.223259,0.781967,0.804739
108,0.137883,0.231076,0.773766,0.763045
109,0.121835,0.229522,0.775192,0.774352
110,0.135784,0.237809,0.762915,0.779134
111,0.130331,0.227839,0.774870,0.756626
112,0.132083,0.231379,0.774085,0.767292
113,0.137432,0.230497,0.773893,0.776360
