-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         1.38%      60.497ms         1.38%      60.497ms       6.498us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      94.91 Gb      94.91 Gb          9310  
                                            aten::empty         0.90%      39.632ms         0.90%      39.632ms       5.298us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb      89.20 Gb      89.20 Gb          7480  
                                aten::cudnn_convolution         0.82%      36.083ms         1.39%      60.850ms      53.849us     167.827ms         5.62%     167.827ms     148.519us           0 b           0 b      59.71 Gb      59.71 Gb          1130  
                                             aten::gelu         0.16%       6.818ms         0.64%      28.187ms      54.206us      75.237ms         2.52%      75.237ms     144.686us           0 b           0 b      40.28 Gb      40.28 Gb           520  
                             aten::convolution_backward         1.10%      48.232ms         4.66%     203.948ms     231.759us     823.142ms        27.55%     871.541ms     990.388us           0 b           0 b      42.37 Gb      33.96 Gb           880  
                                              aten::add         0.22%       9.703ms         0.59%      25.728ms      33.413us      60.292ms         2.02%      60.292ms      78.302us           0 b           0 b      25.76 Gb      25.76 Gb           770  
                                    aten::gelu_backward         0.08%       3.464ms         0.14%       6.184ms      23.783us      50.305ms         1.68%      50.305ms     193.482us           0 b           0 b      20.14 Gb      20.14 Gb           260  
                      aten::cudnn_convolution_transpose         0.14%       6.214ms         0.22%       9.431ms      52.396us     216.661ms         7.25%     216.661ms       1.204ms           0 b           0 b       9.73 Gb       9.73 Gb           180  
                                              aten::mul         0.03%       1.330ms         0.05%       2.054ms      29.338us     541.592us         0.02%     541.592us       7.737us           0 b           0 b      80.02 Mb      80.02 Mb            70  
                                          aten::sigmoid         0.01%     273.819us         0.01%     393.689us      39.369us      84.638us         0.00%      84.638us       8.464us           0 b           0 b      40.00 Mb      40.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     209.988us         0.01%     312.059us      31.206us      83.934us         0.00%      83.934us       8.393us           0 b           0 b      40.00 Mb      40.00 Mb            10  
                                              aten::sum         0.44%      19.436ms         1.23%      53.666ms      58.973us      48.819ms         1.63%      48.819ms      53.648us           0 b           0 b     565.00 Kb     565.00 Kb           910  
                                          aten::resize_         0.02%       1.082ms         0.02%       1.082ms       4.161us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
                                            aten::fill_         0.03%       1.327ms         0.07%       2.858ms      15.041us       7.082ms         0.24%       7.082ms      37.271us           0 b           0 b      98.50 Kb      82.00 Kb           190  
                                              aten::div         0.01%     486.994us         0.02%     752.665us      18.817us     103.263us         0.00%     103.263us       2.582us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                       cudaLaunchKernel        12.29%     538.236ms        12.29%     538.236ms      27.545us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      16.50 Kb      16.50 Kb         19540  
                                              aten::neg         0.01%     294.948us         0.01%     464.928us      23.246us      55.104us         0.00%      55.104us       2.755us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.01%     284.379us         0.01%     452.598us      45.260us      25.567us         0.00%      25.567us       2.557us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                              aten::sub         0.00%     149.373us         0.01%     235.421us      23.542us      24.096us         0.00%      24.096us       2.410us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                       aten::reciprocal         0.00%     203.672us         0.01%     297.689us      29.769us      29.248us         0.00%      29.248us       2.925us           0 b           0 b       5.00 Kb       5.00 Kb            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.381s
Self CUDA time total: 2.988s
