epoch,train_loss,val_loss,dsc,iou
0,0.937147,0.922974,0.089696,0.863064
1,0.884610,0.743247,0.317200,0.926708
2,0.513060,0.331509,0.676241,0.734807
3,0.348180,0.326863,0.675917,0.770830
4,0.300020,0.302269,0.699968,0.731534
5,0.289619,0.294313,0.707301,0.716706
6,0.244274,0.287767,0.713803,0.799048
7,0.258691,0.253305,0.748007,0.786382
8,0.269547,0.256228,0.744568,0.738356
9,0.220709,0.269902,0.731107,0.775985
10,0.244036,0.265209,0.735558,0.721092
11,0.220147,0.251033,0.749728,0.768853
12,0.230364,0.262451,0.738035,0.732225
13,0.199512,0.232251,0.768577,0.790103
14,0.211729,0.228663,0.772221,0.761567
15,0.209185,0.231137,0.769619,0.796663
16,0.213142,0.224644,0.775741,0.781575
17,0.208440,0.240851,0.760377,0.841196
18,0.219264,0.241239,0.759725,0.756381
19,0.244958,0.232919,0.767520,0.795778
20,0.240781,0.233576,0.767248,0.760536
21,0.212043,0.231986,0.768834,0.809573
22,0.205360,0.234519,0.766224,0.770442
23,0.216644,0.215074,0.785602,0.819635
24,0.218097,0.225588,0.774778,0.804719
25,0.179992,0.235194,0.765322,0.772012
26,0.182863,0.218174,0.782346,0.813960
27,0.197934,0.226743,0.773705,0.771782
28,0.204846,0.228678,0.771710,0.767123
29,0.203181,0.222166,0.778237,0.770749
30,0.181218,0.241333,0.759042,0.787653
31,0.205936,0.221214,0.779290,0.818833
32,0.202248,0.230066,0.770316,0.797179
33,0.191738,0.226772,0.773551,0.789390
34,0.201092,0.230482,0.769838,0.792348
35,0.179513,0.228281,0.772148,0.813523
36,0.209873,0.220097,0.780322,0.822392
37,0.191239,0.213572,0.786744,0.824414
38,0.184654,0.218663,0.781711,0.804247
39,0.205543,0.229650,0.770745,0.800569
40,0.199147,0.213695,0.786590,0.823074
41,0.195872,0.223943,0.776471,0.815762
42,0.197285,0.217847,0.782389,0.803946
43,0.164079,0.224066,0.776381,0.792697
44,0.174719,0.226458,0.773864,0.800424
45,0.179417,0.230522,0.769697,0.771335
46,0.156983,0.224064,0.776230,0.809558
47,0.191652,0.222462,0.777904,0.795286
48,0.186952,0.223973,0.776277,0.816088
49,0.219486,0.239554,0.760762,0.853245
50,0.187857,0.223285,0.776960,0.813802
51,0.203757,0.219822,0.780413,0.807339
52,0.182532,0.223752,0.776594,0.803039
53,0.162220,0.226044,0.774218,0.833075
54,0.180388,0.220222,0.780135,0.822009
55,0.191604,0.232334,0.767953,0.808905
56,0.195843,0.225607,0.774598,0.816450
