-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        3.293s        65.73%        3.293s     411.639ms           0 b           0 b           0 b           0 b             8  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       2.747ms        23.76%        1.934s       8.953ms       0.000us         0.00%        3.252s      15.054ms           0 b           0 b     -13.85 Gb     -29.99 Gb           216  
                             CheckpointFunctionBackward         1.62%     131.976ms        23.62%        1.923s       8.901ms       0.000us         0.00%        3.246s      15.026ms           0 b     -13.50 Kb      16.13 Gb     -84.80 Gb           216  
                                           aten::conv3d         0.20%      16.065ms         8.81%     716.786ms     260.744us       0.000us         0.00%        2.611s     949.730us           0 b           0 b     296.11 Gb     -16.12 Gb          2749  
                                      aten::convolution         0.12%       9.668ms         2.78%     226.155ms     135.910us       0.000us         0.00%        1.838s       1.104ms           0 b           0 b     183.67 Gb           0 b          1664  
                                     aten::_convolution         0.20%      16.508ms         2.66%     216.487ms     130.100us       0.000us         0.00%        1.838s       1.104ms           0 b           0 b     183.67 Gb           0 b          1664  
                                          ProfilerStep*         2.21%     179.692ms        75.77%        6.168s     685.335ms       0.000us         0.00%        1.725s     191.621ms           0 b    -134.17 Kb     -39.01 Mb    -408.02 Mb             9  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.660s        33.13%        1.660s     150.879ms           0 b           0 b           0 b           0 b            11  
                        DistributedDataParallel.forward         0.18%      14.875ms         3.22%     262.002ms      23.818ms       0.000us         0.00%        1.649s     149.866ms       1.05 Mb           0 b      16.22 Gb     -16.62 Gb            11  
