epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,2.40,28.84,162.9,32.0,3891.7,5.4,82.2
0,forward,441.52,5298.20,14753.7,25099.2,3891.7,5.4,82.2
0,backward,991.76,11901.14,14759.1,-25070.8,3891.7,5.4,82.2
0,optimizer,15.50,185.97,168.1,42.4,3891.7,5.4,82.2
0,val_forward,2444.50,7333.49,19392.7,80.0,3891.7,5.4,82.2
0,val_metrics,39.62,118.86,302.0,0.0,3891.7,5.4,82.2
1,data_to_gpu,2.28,27.42,162.9,32.0,1976.9,4.1,76.4
1,forward,148.10,1777.19,4441.1,25101.0,1976.9,4.1,76.4
1,backward,621.54,7458.49,7986.6,-25093.0,1976.9,4.1,76.4
1,optimizer,5.02,60.18,168.1,0.0,1976.9,4.1,76.4
1,val_forward,152.86,458.59,5970.9,80.0,1976.9,4.1,76.4
1,val_metrics,2.78,8.35,302.0,0.0,1976.9,4.1,76.4
2,data_to_gpu,2.29,27.51,162.9,32.0,4788.8,7.6,18.4
2,forward,150.19,1802.30,4441.1,25101.0,4788.8,7.6,18.4
2,backward,414.26,4971.06,7986.6,-25092.0,4788.8,7.6,18.4
2,optimizer,8.29,99.50,168.1,0.0,4788.8,7.6,18.4
2,val_forward,154.71,464.12,5971.9,80.0,4788.8,7.6,18.4
2,val_metrics,3.97,11.90,303.0,0.0,4788.8,7.6,18.4
3,data_to_gpu,2.07,24.90,162.9,32.0,3262.5,4.0,63.0
3,forward,148.10,1777.20,4441.1,25107.9,3262.5,4.0,63.0
3,backward,410.53,4926.42,7986.6,-25100.9,3262.5,4.0,63.0
3,optimizer,6.84,82.12,168.1,0.0,3262.5,4.0,63.0
3,val_forward,152.91,458.74,5970.9,80.0,3262.5,4.0,63.0
3,val_metrics,3.10,9.30,303.0,0.0,3262.5,4.0,63.0
4,data_to_gpu,2.24,26.87,162.9,32.0,2365.3,4.3,73.3
4,forward,148.07,1776.79,4441.1,25102.0,2365.3,4.3,73.3
4,backward,585.42,7025.07,7986.6,-25093.0,2365.3,4.3,73.3
4,optimizer,5.32,63.90,168.1,0.0,2365.3,4.3,73.3
4,val_forward,152.93,458.79,5971.9,80.0,2365.3,4.3,73.3
4,val_metrics,3.25,9.76,303.0,0.0,2365.3,4.3,73.3
5,data_to_gpu,2.23,26.78,162.9,32.0,3994.0,3.9,59.2
5,forward,148.03,1776.40,4441.1,25100.0,3994.0,3.9,59.2
5,backward,409.81,4917.76,7985.6,-25093.0,3994.0,3.9,59.2
5,optimizer,5.07,60.88,168.1,0.0,3994.0,3.9,59.2
5,val_forward,153.17,459.51,5970.9,80.0,3994.0,3.9,59.2
5,val_metrics,3.09,9.27,302.0,0.0,3994.0,3.9,59.2
6,data_to_gpu,2.30,27.61,162.9,32.0,3100.3,4.0,68.1
6,forward,148.19,1778.28,4441.1,25100.0,3100.3,4.0,68.1
6,backward,540.26,6483.15,7985.6,-25091.0,3100.3,4.0,68.1
6,optimizer,6.44,77.23,168.1,0.0,3100.3,4.0,68.1
6,val_forward,153.12,459.35,5971.9,80.0,3100.3,4.0,68.1
