epoch,train_loss,val_loss,dsc,iou
0,0.889148,0.894385,0.241978,0.696347
1,0.852026,0.883045,0.271388,0.990263
2,0.822975,0.822039,0.566571,0.920899
3,0.813609,0.814156,0.393838,0.961582
4,0.779464,0.729618,0.541986,0.890472
5,0.787978,0.636480,0.669164,0.704757
6,0.758214,0.455283,0.710245,0.739511
7,0.646681,0.480026,0.636922,0.902999
8,0.630625,0.466782,0.707675,0.704064
9,0.678663,0.477173,0.717772,0.798797
10,0.669931,0.464315,0.718249,0.794300
11,0.672426,0.449249,0.721537,0.791062
12,0.645862,0.428584,0.714711,0.714747
13,0.675078,0.393708,0.710190,0.821221
14,0.632836,0.432877,0.681152,0.708941
15,0.631338,0.528033,0.603370,0.500322
16,0.741183,0.458057,0.633297,0.915063
17,0.540848,0.430194,0.702952,0.698056
18,0.556600,0.440555,0.594795,0.921223
19,0.600361,0.486910,0.607803,0.500677
20,0.555632,0.444331,0.624083,0.528542
21,0.628670,0.405203,0.641189,0.541273
22,0.465000,0.389784,0.658158,0.866201
23,0.490930,0.326110,0.717927,0.754191
24,0.546870,0.325613,0.717012,0.709248
25,0.496291,0.364376,0.672604,0.591414
26,0.479093,0.320245,0.710997,0.701748
27,0.563793,0.332382,0.694658,0.634268
28,0.386052,0.305986,0.722982,0.727730
29,0.537835,0.307515,0.719553,0.711098
30,0.491563,0.305866,0.722005,0.718808
31,0.404487,0.310024,0.716627,0.698982
32,0.415918,0.307876,0.721824,0.711895
33,0.419884,0.310932,0.720070,0.706217
34,0.420474,0.305582,0.730284,0.723760
35,0.436026,0.304945,0.716088,0.810078
36,0.540131,0.303815,0.724498,0.716131
37,0.356666,0.303528,0.710012,0.683529
38,0.488676,0.306844,0.719743,0.770736
39,0.468939,0.407636,0.613043,0.490019
40,0.540819,0.313179,0.701499,0.821686
41,0.401735,0.310279,0.733414,0.753806
42,0.338118,0.340099,0.715575,0.761525
43,0.310342,0.320268,0.713598,0.666716
44,0.265880,0.301033,0.719487,0.695888
45,0.266913,0.301440,0.719795,0.688785
46,0.264896,0.283109,0.730522,0.774037
47,0.323477,0.284136,0.730179,0.711760
48,0.303695,0.291326,0.722590,0.687948
49,0.303519,0.289587,0.725394,0.699467
50,0.293563,0.286993,0.727540,0.708480
51,0.284832,0.286111,0.727823,0.703276
52,0.302145,0.286019,0.728597,0.709119
53,0.240293,0.283282,0.729239,0.717662
54,0.291412,0.281852,0.730722,0.740828
55,0.261441,0.276226,0.734836,0.706455
56,0.290494,0.293512,0.716137,0.666939
57,0.291731,0.324448,0.686568,0.610449
58,0.296665,0.297861,0.711541,0.654481
59,0.327872,0.299818,0.709749,0.658281
60,0.258309,0.287070,0.720366,0.739603
61,0.279597,0.285132,0.722355,0.714679
62,0.261901,0.309657,0.696503,0.626207
63,0.290483,0.273725,0.732525,0.760586
64,0.290773,0.309174,0.695978,0.616169
65,0.274673,0.274342,0.730274,0.690406
66,0.246893,0.280586,0.724339,0.676038
67,0.250785,0.274693,0.730496,0.699723
68,0.276296,0.271353,0.733776,0.711960
69,0.292779,0.271588,0.733237,0.706672
70,0.273563,0.274712,0.730200,0.695445
71,0.251844,0.271561,0.733492,0.705819
72,0.228877,0.270469,0.733989,0.712141
73,0.259508,0.274554,0.729513,0.693461
74,0.270685,0.269493,0.735028,0.743086
75,0.263339,0.263981,0.740112,0.723881
76,0.238478,0.290280,0.714120,0.643534
77,0.276160,0.264466,0.740000,0.722449
78,0.250403,0.263426,0.741350,0.759496
79,0.260501,0.261960,0.740734,0.737703
80,0.305833,0.284418,0.720531,0.658576
81,0.223079,0.263364,0.739146,0.717088
82,0.286660,0.286028,0.718037,0.803923
83,0.253684,0.269645,0.733501,0.692260
