epoch,train_loss,val_loss,dsc,iou
0,0.903186,0.822032,0.192456,0.887903
1,0.664301,0.418244,0.611886,0.626876
2,0.437520,0.323592,0.683548,0.688787
3,0.307443,0.323013,0.680368,0.702900
4,0.310702,0.302808,0.699693,0.692654
5,0.329546,0.298734,0.703001,0.679725
6,0.249361,0.289234,0.712332,0.700424
7,0.246709,0.295047,0.706350,0.681551
8,0.321242,0.288628,0.712558,0.685736
9,0.255292,0.284331,0.716881,0.696950
10,0.269243,0.284331,0.716881,0.696950
11,0.241790,0.283639,0.717647,0.694672
12,0.253993,0.285767,0.715523,0.687825
13,0.214314,0.288910,0.712262,0.668076
14,0.291644,0.299339,0.701942,0.659256
15,0.254824,0.282177,0.719084,0.764623
16,0.271964,0.274069,0.727178,0.685088
17,0.262701,0.277174,0.723986,0.739628
18,0.273965,0.279863,0.721188,0.667014
19,0.265753,0.286083,0.714577,0.673158
20,0.300220,0.287568,0.713005,0.649489
21,0.267717,0.273346,0.727250,0.703765
22,0.192390,0.262761,0.738144,0.740858
23,0.238941,0.270503,0.730043,0.702645
24,0.275299,0.263539,0.737106,0.721684
25,0.236146,0.253125,0.747536,0.742097
26,0.209132,0.251942,0.748756,0.766423
27,0.182905,0.256448,0.744297,0.727719
28,0.206463,0.250385,0.750349,0.754438
29,0.154650,0.248752,0.752004,0.755365
30,0.178866,0.248752,0.752004,0.755365
31,0.247961,0.249626,0.751194,0.745391
32,0.176748,0.253262,0.747398,0.736293
33,0.178510,0.252488,0.748110,0.764564
34,0.229075,0.261359,0.739174,0.726004
35,0.250303,0.254879,0.745876,0.751943
36,0.215501,0.247426,0.753113,0.754569
37,0.235565,0.260813,0.739777,0.707492
38,0.215687,0.239388,0.761239,0.748580
39,0.190289,0.253810,0.746563,0.730742
40,0.220824,0.235186,0.765614,0.766759
41,0.287809,0.234649,0.765754,0.749673
42,0.249265,0.245527,0.754959,0.755174
43,0.180491,0.244081,0.756430,0.746687
44,0.174804,0.234107,0.766455,0.784725
45,0.208127,0.249204,0.751144,0.746469
46,0.182158,0.239717,0.760818,0.784864
47,0.200931,0.242085,0.758404,0.763451
48,0.215726,0.237282,0.763255,0.770225
49,0.210641,0.238458,0.762074,0.764981
50,0.224326,0.238458,0.762074,0.764981
51,0.207592,0.238317,0.762203,0.768537
52,0.176268,0.239050,0.761603,0.782256
53,0.159658,0.242011,0.758647,0.760095
54,0.183288,0.239869,0.760667,0.784780
55,0.173924,0.236256,0.764247,0.776653
56,0.192008,0.236971,0.763882,0.797659
57,0.195439,0.234700,0.765964,0.824251
58,0.224520,0.236951,0.763633,0.801152
59,0.231122,0.246726,0.753778,0.789821
60,0.205777,0.225562,0.775009,0.807839
61,0.199342,0.228838,0.771751,0.828549
62,0.194689,0.234402,0.765992,0.786662
63,0.184193,0.234955,0.765474,0.790925
64,0.189165,0.238875,0.761502,0.757292
65,0.191791,0.242538,0.757811,0.793295
66,0.181948,0.243690,0.756612,0.764466
67,0.186045,0.237486,0.762918,0.784241
68,0.198019,0.235486,0.764966,0.779128
69,0.228529,0.236557,0.763851,0.774624
70,0.159632,0.236557,0.763851,0.774624
71,0.172652,0.236531,0.763900,0.776976
72,0.154887,0.239026,0.761404,0.775942
73,0.157626,0.235396,0.765019,0.785250
74,0.192995,0.234778,0.765555,0.794249
75,0.197600,0.239039,0.761238,0.765204
76,0.167345,0.247699,0.752599,0.719625
77,0.228614,0.257856,0.742401,0.737102
78,0.187353,0.241651,0.758663,0.793412
79,0.209409,0.239422,0.760848,0.809216
80,0.187711,0.245274,0.755046,0.762204
