-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         1.44%      63.812ms         1.44%      63.812ms       6.854us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      94.91 Gb      94.91 Gb          9310  
                                            aten::empty         0.92%      40.672ms         0.92%      40.672ms       5.437us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb      89.20 Gb      89.20 Gb          7480  
                                aten::cudnn_convolution         0.91%      39.973ms         1.50%      66.068ms      58.468us     167.166ms         5.72%     167.166ms     147.934us           0 b           0 b      59.71 Gb      59.71 Gb          1130  
                                             aten::gelu         0.16%       6.978ms         0.63%      28.013ms      53.871us      75.269ms         2.58%      75.269ms     144.748us           0 b           0 b      40.28 Gb      40.28 Gb           520  
                             aten::convolution_backward         1.14%      50.512ms         4.65%     205.330ms     233.329us     824.772ms        28.22%     873.312ms     992.400us           0 b           0 b      42.37 Gb      33.96 Gb           880  
                                              aten::add         0.21%       9.211ms         0.57%      25.366ms      32.942us      60.278ms         2.06%      60.278ms      78.283us           0 b           0 b      25.76 Gb      25.76 Gb           770  
                                    aten::gelu_backward         0.08%       3.335ms         0.14%       5.997ms      23.067us      50.278ms         1.72%      50.278ms     193.378us           0 b           0 b      20.14 Gb      20.14 Gb           260  
                      aten::cudnn_convolution_transpose         0.16%       7.165ms         0.24%      10.703ms      59.463us     216.534ms         7.41%     216.534ms       1.203ms           0 b           0 b       9.73 Gb       9.73 Gb           180  
                                         cudaEventQuery         0.01%     587.031us         0.01%     587.031us       9.950us       6.688us         0.00%       6.688us       0.113us           0 b           0 b     196.50 Mb     196.50 Mb            59  
                                              aten::mul         0.07%       2.932ms         0.09%       3.996ms      57.084us     543.548us         0.02%     543.548us       7.765us           0 b           0 b      80.02 Mb      80.02 Mb            70  
                                          aten::sigmoid         0.01%     287.097us         0.01%     442.608us      44.261us      84.640us         0.00%      84.640us       8.464us           0 b           0 b      40.00 Mb      40.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     174.518us         0.01%     296.897us      29.690us      84.320us         0.00%      84.320us       8.432us           0 b           0 b      40.00 Mb      40.00 Mb            10  
                                              aten::sum         0.44%      19.328ms         1.21%      53.427ms      58.711us      48.961ms         1.68%      48.961ms      53.804us           0 b           0 b     565.00 Kb     565.00 Kb           910  
                                          aten::resize_         0.03%       1.181ms         0.03%       1.181ms       4.544us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
autograd::engine::evaluate_function: torch::autograd...         0.56%      24.513ms         4.30%     189.938ms      74.195us       0.000us         0.00%      30.006ms      11.721us           0 b           0 b    -263.98 Mb      54.00 Kb          2560  
                                              aten::div         0.02%     739.840us         0.02%       1.094ms      27.338us     101.568us         0.00%     101.568us       2.539us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.01%     299.977us         0.01%     480.627us      24.031us      50.304us         0.00%      50.304us       2.515us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                               aten::ne         0.01%     285.760us         0.01%     483.697us      48.370us      25.888us         0.00%      25.888us       2.589us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                              aten::sub         0.00%     162.982us         0.01%     260.189us      26.019us      23.424us         0.00%      23.424us       2.342us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                       aten::reciprocal         0.01%     277.976us         0.01%     428.806us      42.881us      30.336us         0.00%      30.336us       3.034us           0 b           0 b       5.00 Kb       5.00 Kb            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.416s
Self CUDA time total: 2.923s
