-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.108s        72.11%        2.108s     210.779ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: CheckpointFunct...         0.09%       3.824ms        28.03%        1.238s       4.585ms       0.000us         0.00%        2.058s       7.622ms           0 b           0 b      -8.56 Gb     -18.74 Gb           270  
                             CheckpointFunctionBackward         4.03%     177.828ms        27.60%        1.219s       4.515ms       0.000us         0.00%        2.054s       7.608ms           0 b     -16.88 Kb      10.18 Gb     -53.01 Gb           270  
                                           aten::conv3d         0.46%      20.331ms        12.10%     534.156ms     170.114us       0.000us         0.00%        1.444s     459.872us           0 b           0 b     157.17 Gb     -10.07 Gb          3140  
                                      aten::convolution         0.25%      11.245ms         3.84%     169.781ms      97.018us       0.000us         0.00%     927.161ms     529.806us           0 b           0 b      83.16 Gb           0 b          1750  
                                     aten::_convolution         0.42%      18.406ms         3.59%     158.537ms      90.592us       0.000us         0.00%     927.161ms     529.806us           0 b           0 b      83.16 Gb           0 b          1750  
autograd::engine::evaluate_function: ConvolutionBack...         0.25%      10.962ms         5.65%     249.528ms     283.555us       0.000us         0.00%     892.645ms       1.014ms           0 b           0 b     -24.75 Gb     -73.77 Gb           880  
                                   ConvolutionBackward0         0.12%       5.421ms         4.77%     210.751ms     239.490us       0.000us         0.00%     873.312ms     992.400us           0 b           0 b      42.37 Gb           0 b           880  
                             aten::convolution_backward         1.14%      50.512ms         4.65%     205.330ms     233.329us     824.772ms        28.22%     873.312ms     992.400us           0 b           0 b      42.37 Gb      33.96 Gb           880  
                                       aten::group_norm         0.12%       5.371ms         4.36%     192.356ms     184.958us       0.000us         0.00%     852.512ms     819.723us           0 b           0 b     100.78 Gb     -20.06 Gb          1040  
