epoch,phase,avg_ms,total_ms,peak_vram_mb,vram_delta_mb,loader_starvation_ms,nccl_ms,gpu_util_pct
0,data_to_gpu,1.44,34.66,135.4,16.0,1377.8,10.9,89.4
0,forward,234.00,5616.11,7403.7,25095.6,1377.8,10.9,89.4
0,backward,412.27,9894.45,7401.1,-25070.8,1377.8,10.9,89.4
0,optimizer,9.60,230.40,148.6,43.0,1377.8,10.9,89.4
0,val_forward,800.09,4800.52,18966.5,64.0,1377.8,10.9,89.4
0,val_metrics,32.55,195.32,205.0,0.0,1377.8,10.9,89.4
1,data_to_gpu,1.25,29.88,134.9,16.0,927.2,7.0,84.5
1,forward,81.55,1957.28,2279.3,25096.0,927.2,7.0,84.5
1,backward,273.29,6558.89,3414.8,-25092.0,927.2,7.0,84.5
1,optimizer,5.04,120.99,148.1,0.0,927.2,7.0,84.5
1,val_forward,84.60,507.59,3039.4,64.0,927.2,7.0,84.5
1,val_metrics,2.08,12.46,205.0,0.0,927.2,7.0,84.5
2,data_to_gpu,1.35,32.47,134.9,16.0,812.9,9.5,21.1
2,forward,82.37,1976.93,2279.3,25096.0,812.9,9.5,21.1
2,backward,247.99,5951.75,3414.8,-25092.0,812.9,9.5,21.1
2,optimizer,8.25,197.96,148.1,0.0,812.9,9.5,21.1
2,val_forward,84.41,506.43,3039.4,64.0,812.9,9.5,21.1
2,val_metrics,2.29,13.75,205.0,0.0,812.9,9.5,21.1
3,data_to_gpu,1.32,31.75,134.9,16.0,2963.3,7.3,67.5
3,forward,81.50,1955.89,2279.3,25096.0,2963.3,7.3,67.5
3,backward,210.31,5047.42,3414.8,-25092.0,2963.3,7.3,67.5
3,optimizer,5.53,132.69,148.1,0.0,2963.3,7.3,67.5
3,val_forward,84.41,506.46,3039.4,64.0,2963.3,7.3,67.5
3,val_metrics,2.65,15.91,205.0,0.0,2963.3,7.3,67.5
4,data_to_gpu,1.28,30.67,134.9,16.0,753.9,9.6,86.9
4,forward,81.48,1955.58,2279.3,25096.0,753.9,9.6,86.9
4,backward,290.37,6968.83,3414.8,-25092.0,753.9,9.6,86.9
4,optimizer,5.34,128.05,148.1,0.0,753.9,9.6,86.9
4,val_forward,84.46,506.77,3039.4,64.0,753.9,9.6,86.9
4,val_metrics,2.28,13.66,205.0,0.0,753.9,9.6,86.9
5,data_to_gpu,1.38,33.08,134.9,16.0,1455.2,8.5,79.7
5,forward,81.35,1952.36,2279.3,25096.0,1455.2,8.5,79.7
5,backward,240.20,5764.88,3414.8,-25092.0,1455.2,8.5,79.7
5,optimizer,5.05,121.27,148.1,0.0,1455.2,8.5,79.7
5,val_forward,84.48,506.86,3039.4,64.0,1455.2,8.5,79.7
5,val_metrics,2.30,13.81,205.0,0.0,1455.2,8.5,79.7
6,data_to_gpu,1.39,33.40,134.9,16.0,2851.3,6.6,67.8
6,forward,81.38,1953.14,2279.3,25096.0,2851.3,6.6,67.8
6,backward,209.81,5035.37,3414.8,-25092.0,2851.3,6.6,67.8
6,optimizer,5.41,129.95,148.1,0.0,2851.3,6.6,67.8
6,val_forward,84.48,506.90,3039.4,64.0,2851.3,6.6,67.8
