epoch,train_loss,val_loss,dsc,iou
0,0.843220,0.507118,0.519082,0.863635
1,0.434490,0.325084,0.677916,0.652133
2,0.360190,0.358477,0.643877,0.705221
3,0.316302,0.282607,0.718769,0.762169
4,0.273106,0.289473,0.711724,0.726259
5,0.274662,0.280277,0.720672,0.701645
6,0.238322,0.278823,0.722152,0.709877
7,0.242237,0.273271,0.727908,0.712366
8,0.251749,0.266727,0.734400,0.723922
9,0.214680,0.268859,0.732269,0.717252
10,0.232786,0.268859,0.732269,0.717252
11,0.208476,0.267787,0.733280,0.722212
12,0.243166,0.263582,0.737467,0.734487
13,0.215443,0.258643,0.742342,0.761355
14,0.232142,0.265875,0.735271,0.708166
15,0.237997,0.260671,0.740422,0.770971
16,0.231962,0.282046,0.718625,0.691364
17,0.244893,0.262168,0.738820,0.796952
18,0.252213,0.256977,0.743600,0.739464
19,0.263364,0.256249,0.744676,0.727988
20,0.267819,0.232933,0.767753,0.751238
21,0.230878,0.240514,0.760144,0.805445
22,0.226978,0.234651,0.766165,0.781634
23,0.228536,0.221770,0.779056,0.815585
24,0.229391,0.224029,0.776640,0.814464
25,0.181879,0.237829,0.762787,0.769501
26,0.195740,0.216387,0.784321,0.803276
27,0.201942,0.230472,0.770295,0.768466
28,0.197671,0.224831,0.775937,0.787827
29,0.205892,0.224508,0.776326,0.786520
30,0.168744,0.224508,0.776326,0.786520
31,0.183929,0.221957,0.778812,0.789749
32,0.192016,0.221686,0.779118,0.797324
33,0.189055,0.220190,0.780603,0.792309
34,0.207645,0.224596,0.776231,0.787877
35,0.194573,0.225903,0.774970,0.804453
36,0.221903,0.228281,0.772218,0.790060
37,0.199534,0.221937,0.778773,0.801834
38,0.201379,0.238577,0.761862,0.787066
39,0.230544,0.247466,0.752902,0.775169
40,0.215784,0.251722,0.748917,0.725122
41,0.232786,0.233521,0.767184,0.810675
42,0.212948,0.221306,0.779101,0.821084
43,0.179398,0.223393,0.777120,0.780300
44,0.184956,0.225138,0.775445,0.781722
45,0.185612,0.233502,0.766965,0.747296
46,0.164392,0.220620,0.779920,0.820907
47,0.201692,0.218274,0.782216,0.807921
48,0.184561,0.218524,0.782149,0.803312
49,0.222181,0.221595,0.779000,0.792147
50,0.191941,0.221595,0.779000,0.792147
51,0.192814,0.218950,0.781725,0.800809
52,0.195419,0.221273,0.779333,0.801168
53,0.163103,0.218641,0.781839,0.817541
54,0.195176,0.217726,0.782755,0.799704
55,0.194085,0.217353,0.783269,0.827006
56,0.205197,0.232581,0.767876,0.813005
57,0.183197,0.235272,0.764995,0.746882
58,0.192986,0.233395,0.766911,0.779773
59,0.233236,0.214452,0.786029,0.834384
60,0.171682,0.229609,0.770794,0.820627
61,0.181413,0.222308,0.778151,0.800047
62,0.172274,0.225675,0.774739,0.808949
63,0.173956,0.218515,0.781955,0.852623
64,0.190456,0.227834,0.772587,0.823718
65,0.178002,0.224973,0.775239,0.818905
66,0.156160,0.220853,0.779463,0.838337
67,0.184858,0.218947,0.781434,0.793271
68,0.183812,0.218947,0.781590,0.806884
69,0.193434,0.216897,0.783573,0.813112
70,0.161868,0.216897,0.783573,0.813112
71,0.158881,0.217755,0.782715,0.807789
72,0.155062,0.219943,0.780437,0.805105
73,0.157690,0.218877,0.781481,0.806099
74,0.177564,0.224766,0.775796,0.812447
75,0.161413,0.226146,0.774102,0.801274
76,0.168759,0.229091,0.771265,0.779321
77,0.204471,0.226869,0.773448,0.818420
78,0.195077,0.232430,0.767825,0.780708
79,0.217871,0.239521,0.760693,0.766646
80,0.194779,0.238308,0.761919,0.761974
81,0.164305,0.230800,0.769544,0.837944
82,0.207174,0.242940,0.757276,0.733207
83,0.181371,0.227997,0.772262,0.838617
84,0.152589,0.219791,0.780469,0.810088
85,0.167364,0.226009,0.774282,0.799893
86,0.149551,0.220005,0.780240,0.789363
87,0.184125,0.223945,0.776370,0.781506
88,0.153606,0.230322,0.770096,0.794552
89,0.159107,0.225662,0.774725,0.800312
90,0.162629,0.225662,0.774725,0.800312
91,0.183668,0.223464,0.776900,0.800891
92,0.156310,0.222411,0.777903,0.783016
93,0.151882,0.223673,0.776564,0.781246
94,0.166400,0.216651,0.783717,0.822143
95,0.149678,0.227064,0.773125,0.802005
96,0.158578,0.220433,0.779881,0.804532
97,0.197031,0.226709,0.773445,0.801514
98,0.194930,0.243113,0.757211,0.752847
99,0.183613,0.226942,0.773387,0.845079
100,0.196722,0.230333,0.769916,0.822206
101,0.203239,0.231887,0.768371,0.796075
102,0.169847,0.243399,0.756817,0.773304
103,0.149151,0.243759,0.756455,0.761781
104,0.163646,0.247452,0.752726,0.773543
105,0.187118,0.239346,0.760866,0.778457
106,0.132909,0.235126,0.765072,0.803440
107,0.154010,0.236145,0.764118,0.796047
108,0.140909,0.237794,0.762437,0.776296
109,0.147620,0.234259,0.765973,0.784904
110,0.159187,0.234259,0.765973,0.784904
111,0.140040,0.233735,0.766515,0.789927
112,0.141989,0.234815,0.765431,0.787037
113,0.162646,0.234838,0.765398,0.787111
114,0.147336,0.238662,0.761580,0.784328
115,0.219042,0.228751,0.771378,0.779517
116,0.156424,0.235829,0.764313,0.761402
117,0.169516,0.215384,0.784902,0.836060
118,0.165289,0.238383,0.761830,0.787303
119,0.150222,0.248037,0.752179,0.724526
120,0.171600,0.239895,0.760320,0.784546
121,0.190408,0.228341,0.771878,0.825369
122,0.167021,0.215681,0.784653,0.828237
123,0.173923,0.223243,0.777006,0.810122
124,0.180342,0.234915,0.765211,0.758163
125,0.164121,0.231565,0.768710,0.800525
126,0.152501,0.232486,0.767719,0.790420
127,0.130311,0.236774,0.763460,0.795360
128,0.176576,0.228804,0.771435,0.811368
129,0.144597,0.230290,0.769921,0.801328
130,0.149195,0.230290,0.769921,0.801328
131,0.138262,0.229449,0.770786,0.804744
132,0.156436,0.229109,0.771108,0.794280
133,0.143496,0.228055,0.772173,0.795987
134,0.164269,0.234749,0.765409,0.777169
135,0.154976,0.238666,0.761626,0.772169
136,0.169381,0.222038,0.778219,0.806197
137,0.169016,0.215964,0.784345,0.827035
138,0.165924,0.240499,0.759614,0.779992
139,0.175026,0.228140,0.772131,0.860712
140,0.161710,0.241271,0.758926,0.781736
141,0.165698,0.225410,0.774859,0.783449
142,0.143719,0.235278,0.764963,0.804595
143,0.141859,0.217272,0.783001,0.824724
144,0.163379,0.237369,0.762794,0.779242
145,0.143115,0.237576,0.762621,0.777887
146,0.131095,0.228636,0.771632,0.799110
147,0.136495,0.233649,0.766612,0.793687
148,0.142475,0.223853,0.776351,0.808864
149,0.150916,0.226274,0.773962,0.803023
150,0.139283,0.226274,0.773962,0.803023
151,0.135160,0.225901,0.774322,0.804494
152,0.125029,0.228026,0.772283,0.806419
153,0.132036,0.229781,0.770469,0.802026
154,0.132804,0.221699,0.778550,0.798910
155,0.149261,0.232513,0.767712,0.784875
156,0.148514,0.228361,0.771895,0.801334
157,0.151404,0.246284,0.753869,0.741564
158,0.141883,0.244124,0.756042,0.797503
159,0.150044,0.245892,0.754234,0.787457
160,0.147037,0.228156,0.772063,0.824881
161,0.170340,0.244375,0.755977,0.766068
162,0.162249,0.227904,0.772272,0.815624
163,0.150634,0.234003,0.766143,0.807778
164,0.138140,0.219289,0.780918,0.815253
165,0.155818,0.221973,0.778240,0.813038
166,0.136829,0.226978,0.773172,0.801686
167,0.157313,0.226167,0.774024,0.804411
168,0.124660,0.230714,0.769487,0.800200
169,0.144698,0.229423,0.770766,0.803683
170,0.128308,0.229423,0.770766,0.803683
171,0.126022,0.226971,0.773247,0.807006
172,0.137195,0.226326,0.773862,0.800473
173,0.129610,0.228515,0.771687,0.787703
174,0.136647,0.239476,0.760751,0.769467
175,0.133204,0.231158,0.769002,0.789866
176,0.146450,0.230402,0.769767,0.793341
177,0.140599,0.222475,0.777748,0.833839
178,0.162590,0.241655,0.758627,0.804960
179,0.139175,0.220079,0.780171,0.821255
180,0.135727,0.247741,0.752439,0.767155
181,0.165217,0.236872,0.763264,0.805976
182,0.166588,0.243869,0.756300,0.771910
183,0.164152,0.217359,0.782854,0.846411
184,0.149560,0.233076,0.767105,0.831592
185,0.137450,0.232479,0.767602,0.792595
186,0.148521,0.227734,0.772438,0.800423
187,0.131628,0.222758,0.777419,0.808761
188,0.133862,0.221990,0.778150,0.806192
189,0.120927,0.223076,0.777067,0.803129
