epoch,train_loss,val_loss,dsc,iou
0,0.528,0.342,0.661,0.673
1,0.343,0.351,0.651,0.615
2,0.325,0.311,0.689,0.655
3,0.3,0.301,0.699,0.655
4,0.276,0.285,0.718,0.846
5,0.259,0.262,0.739,0.723
6,0.253,0.241,0.759,0.827
7,0.234,0.236,0.765,0.752
8,0.234,0.228,0.773,0.785
9,0.225,0.234,0.767,0.76
10,0.225,0.234,0.767,0.76
11,0.223,0.232,0.769,0.766
12,0.225,0.245,0.756,0.726
13,0.228,0.232,0.768,0.763
14,0.24,0.276,0.724,0.698
15,0.242,0.23,0.77,0.79
16,0.233,0.227,0.774,0.79
17,0.232,0.262,0.739,0.823
18,0.239,0.251,0.75,0.724
19,0.243,0.26,0.741,0.788
20,0.236,0.236,0.765,0.78
21,0.239,0.254,0.747,0.761
22,0.227,0.26,0.741,0.753
23,0.22,0.245,0.755,0.78
24,0.211,0.257,0.743,0.711
25,0.221,0.258,0.743,0.726
26,0.204,0.228,0.772,0.77
27,0.208,0.221,0.779,0.784
28,0.201,0.219,0.781,0.8
29,0.196,0.22,0.78,0.786
30,0.206,0.22,0.78,0.786
31,0.199,0.222,0.778,0.787
32,0.2,0.221,0.779,0.788
33,0.204,0.231,0.769,0.787
34,0.217,0.227,0.773,0.778
35,0.204,0.241,0.759,0.746
36,0.209,0.223,0.777,0.822
37,0.208,0.228,0.772,0.765
38,0.225,0.229,0.772,0.781
39,0.223,0.232,0.768,0.801
40,0.217,0.223,0.777,0.836
41,0.203,0.23,0.771,0.771
42,0.206,0.247,0.754,0.793
43,0.217,0.223,0.777,0.793
44,0.206,0.255,0.745,0.748
45,0.206,0.252,0.748,0.786
46,0.204,0.221,0.779,0.815
47,0.195,0.23,0.77,0.778
48,0.185,0.229,0.771,0.784
