-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.16%      35.262ms         0.24%      51.879ms      45.911us     742.051ms         4.70%     742.051ms     656.682us           0 b           0 b     119.43 Gb     119.43 Gb          1130  
                                            aten::empty         0.21%      45.013ms         0.21%      45.013ms       6.026us       0.000us         0.00%       0.000us       0.000us      16.91 Kb      16.91 Kb     117.98 Gb     117.98 Gb          7470  
                                             aten::gelu         0.17%      37.936ms         0.19%      42.473ms      81.678us     124.600ms         0.79%     124.600ms     239.615us           0 b           0 b      80.57 Gb      80.57 Gb           520  
                             aten::convolution_backward         0.21%      46.738ms         0.47%     103.935ms     118.108us        2.411s        15.27%        2.486s       2.824ms           0 b           0 b      84.74 Gb      67.91 Gb           880  
                                               aten::ne         0.22%      47.562ms         0.38%      82.585ms      17.386us     215.432ms         1.37%     215.432ms      45.354us           0 b           0 b      53.41 Gb      53.41 Gb          4750  
                                              aten::add         0.20%      43.854ms         0.23%      50.405ms      64.621us     119.219ms         0.76%     119.219ms     152.846us           0 b           0 b      51.60 Gb      51.60 Gb           780  
                                    aten::gelu_backward         0.02%       3.340ms         0.03%       5.610ms      21.579us      91.935ms         0.58%      91.935ms     353.597us           0 b           0 b      40.28 Gb      40.28 Gb           260  
                      aten::cudnn_convolution_transpose         0.03%       6.113ms         0.04%       9.184ms      51.020us     316.542ms         2.01%     316.542ms       1.759ms           0 b           0 b      19.44 Gb      19.44 Gb           180  
                                    aten::empty_strided         0.07%      14.800ms         0.07%      14.800ms       6.116us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.96 Gb       6.96 Gb          2420  
                                              aten::mul         0.01%       2.931ms         0.02%       3.622ms      72.449us     535.007us         0.00%     535.007us      10.700us           0 b           0 b     160.01 Mb     160.01 Mb            50  
                                          aten::sigmoid         0.01%       1.470ms         0.01%       1.663ms     166.261us      94.400us         0.00%      94.400us       9.440us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                 aten::sigmoid_backward         0.00%     177.719us         0.00%     343.458us      34.346us     123.230us         0.00%     123.230us      12.323us           0 b           0 b      80.00 Mb      80.00 Mb            10  
                                         cudaEventQuery         0.01%       3.155ms         0.01%       3.155ms      13.777us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      74.23 Mb      74.23 Mb           229  
                                              aten::any         0.39%      84.679ms         0.63%     136.979ms      28.898us     121.437ms         0.77%     121.635ms      25.661us           0 b           0 b       2.31 Mb       2.31 Mb          4740  
                                              aten::sum         0.10%      20.991ms         0.14%      31.127ms      34.205us      75.314ms         0.48%      75.314ms      82.763us           0 b           0 b     855.00 Kb     855.00 Kb           910  
                                          aten::resize_         0.01%       1.326ms         0.01%       1.326ms       5.101us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     205.00 Kb     205.00 Kb           260  
                                              aten::div         0.01%       1.568ms         0.01%       1.963ms      49.086us     106.176us         0.00%     106.176us       2.654us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                              aten::neg         0.00%     625.517us         0.00%     963.426us      48.171us      47.999us         0.00%      47.999us       2.400us           0 b           0 b      10.00 Kb      10.00 Kb            20  
                                              aten::sub         0.00%     183.062us         0.00%     312.200us      31.220us      23.872us         0.00%      23.872us       2.387us           0 b           0 b       5.00 Kb       5.00 Kb            10  
                                             aten::item         0.06%      12.071ms        17.95%        3.929s     420.252us       0.000us         0.00%      11.152ms       1.193us           0 b           0 b           0 b           0 b          9350  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.890s
Self CUDA time total: 15.782s
