-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       5.853ms        22.53%        4.931s      18.264ms       0.000us         0.00%       13.828s      51.214ms           0 b           0 b     -17.32 Gb     -42.47 Gb           270  
                             CheckpointFunctionBackward         0.70%     153.201ms        22.19%        4.858s      17.992ms       0.000us         0.00%       13.788s      51.068ms           0 b     -16.88 Kb      20.16 Gb     -45.57 Gb           270  
autograd::engine::evaluate_function: torch::autograd...         0.11%      24.550ms         0.40%      88.184ms      34.447us       0.000us         0.00%       10.315s       4.029ms           0 b           0 b      -2.50 Gb    -255.99 Mb          2560  
                                       c10d::allreduce_         0.01%       2.901ms         0.03%       5.870ms     293.481us       0.000us         0.00%       10.309s     515.443ms           0 b           0 b           0 b           0 b            20  
                                     record_param_comms         0.01%       2.306ms         0.01%       2.969ms     148.428us       10.309s        65.32%       10.309s     515.443ms           0 b           0 b           0 b           0 b            20  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us       10.309s        65.32%       10.309s     515.443ms           0 b           0 b           0 b           0 b            20  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       10.309s        65.32%       10.309s     515.443ms           0 b           0 b           0 b           0 b            20  
                                         REMPE/backward         0.00%       0.000us         0.00%       0.000us       0.000us        5.007s        31.72%        5.007s     500.681ms           0 b           0 b           0 b           0 b            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.14%      31.682ms        12.92%        2.828s       3.213ms       0.000us         0.00%        2.668s       3.032ms           0 b           0 b     -49.19 Gb    -168.43 Gb           880  
